timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2024/12/04 00:30:09.111, NVIDIA H100 80GB HBM3, 0 %, 0 %, 0 MiB, 81559 MiB
2024/12/04 00:40:09.110, NVIDIA H100 80GB HBM3, 47 %, 0 %, 1174 MiB, 81559 MiB
2024/12/04 00:50:09.107, NVIDIA H100 80GB HBM3, 44 %, 0 %, 1174 MiB, 81559 MiB
2024/12/04 01:00:09.107, NVIDIA H100 80GB HBM3, 51 %, 0 %, 1174 MiB, 81559 MiB
2024/12/04 01:10:09.105, NVIDIA H100 80GB HBM3, 45 %, 0 %, 1174 MiB, 81559 MiB
2024/12/04 01:20:09.102, NVIDIA H100 80GB HBM3, 50 %, 0 %, 1174 MiB, 81559 MiB
2024/12/04 01:30:09.101, NVIDIA H100 80GB HBM3, 50 %, 0 %, 1174 MiB, 81559 MiB
2024/12/04 01:40:09.100, NVIDIA H100 80GB HBM3, 53 %, 0 %, 1174 MiB, 81559 MiB
