alpha_matrix_11,nu_matrix_11,sigma_matrix_11,alpha_matrix_12,nu_matrix_12,sigma_matrix_12,alpha_matrix_13,nu_matrix_13,sigma_matrix_13,alpha_matrix_22,nu_matrix_22,sigma_matrix_22,alpha_matrix_23,nu_matrix_23,sigma_matrix_23,alpha_matrix_33,nu_matrix_33,sigma_matrix_33,distance_K
0.010999999998559384,0.999000000001,1.0009999999988932,0.9000561093621039,1.81,-4.064222317893781e-33,0.9000561093620737,1.81,-4.0642223178942994e-33,0.009000000007032605,1.000999999999,0.999000000001,0.9000449988750965,1.810999999999,-4.0647438010590264e-33,0.009000000000999986,1.000999999999,1.0009999999967223,0.11706483103899594
0.010999999994343534,1.000999999999,0.999000000001,0.9000561093620512,1.81,-4.064222317894686e-33,0.9000561093620509,1.810999999999,-4.064553034920528e-33,0.009000000001639918,0.999000000001,1.0009999999989163,0.9000449988750725,1.81,-4.064412968167091e-33,0.009000000001601838,1.000999999999,1.000999999999,0.11706580345707501
0.00900000000425838,1.000999999999,0.9990000000019803,0.9000561093620897,1.810999999999,-4.064553034919863e-33,0.9000449988750829,1.810999999999,-4.06474380105926e-33,0.010999999998504983,1.000999999999,0.9990000000022674,0.9000561093620738,1.810999999999,-4.064553034920136e-33,0.009000000001080921,1.000999999999,0.9990000000057634,0.11705447026949284
0.009000000001562758,1.000999999999,1.000999999999,0.9000561093620661,1.810999999999,-4.0645530349202664e-33,0.9000561093620782,1.810999999999,-4.064553034920059e-33,0.010999999996860077,1.000999999999,0.9990000000016598,0.9000672197119239,1.810999999999,-4.064362282443193e-33,0.010999999998830057,1.000999999999,0.999000000001,0.11705794213703428
0.009000000000999986,1.000999999999,1.0009999999987873,0.9000561093620164,1.810999999999,-4.064553034921121e-33,0.9000449988750862,1.810999999999,-4.064743801059204e-33,0.010999999989182774,1.000999999999,0.9990000000017677,0.9000561093620363,1.810999999999,-4.0645530349207796e-33,0.009000000004972475,1.000999999999,0.999000000001099,0.11705591307666649
0.009000000000999986,1.000999999999,0.9990000000012397,0.9000449988753696,1.81,-4.064412968161993e-33,0.900044998875069,1.810999999999,-4.064743801059499e-33,0.009000000061662794,0.999000000001,1.000999999999,0.9000449988753723,1.81,-4.064412968161947e-33,0.009000000001545994,1.000999999999,0.9990000000079323,0.11705487079066801
0.009000000003942299,0.999000000001,1.0009999999975956,0.900044998875081,1.81,-4.064412968166945e-33,0.9000561093620881,1.809000000001,-4.063895489188018e-33,0.009000000000999986,1.000999999999,0.999000000005322,0.9000561093620735,1.81,-4.0642223178943035e-33,0.010999999998513643,0.999000000001,0.9990000000072418,0.1170559204444973
0.009000000001254338,1.000999999999,1.0009999999980592,0.9000449988751132,1.810999999999,-4.064743801058738e-33,0.9000449988750807,1.810999999999,-4.0647438010592974e-33,0.009000000010137121,1.000999999999,0.999000000001,0.9000449988751251,1.810999999999,-4.0647438010585344e-33,0.009000000003625885,1.000999999999,0.9990000000233881,0.11705388401641727
0.010999999999000032,1.000999999999,0.9990000000027865,0.9000561093639546,1.810999999999,-4.064553034887843e-33,0.900067219711938,1.810999999999,-4.0643622824429506e-33,0.009000000376664041,1.000999999999,1.0009999999973136,0.9000561093639546,1.810999999999,-4.064553034887843e-33,0.010999999999000032,1.000999999999,0.9990000000014472,0.11705892774254349
0.00900000000594392,0.999000000001,0.9990000000013357,0.9000561093621011,1.809000000001,-4.0638954891877956e-33,0.900056109362094,1.81,-4.064222317893951e-33,0.010999999999000032,0.999000000001,1.000999999999,0.9000672197119309,1.81,-4.0640316812707395e-33,0.010999999997846954,1.000999999999,0.999000000001,0.11705894326287676
