gene,mean_expression
Serpine2,2.1978922
Ptprd,2.1948135
Rgs2,1.8769286
Mast4,1.7386898
Foxo1,1.6684593
Nr5a2,1.619896
Lars2,1.4949511
Tdrd5,1.4744824
Cfh,1.3326206
Prkar2b,1.3141829
Plxdc2,1.2001989
Kcnq5,1.17537
Prss23,1.1638006
Hexb,1.1553086
Sema5a,1.1551741
Adamts2,1.1165451
Cald1,1.0590385
Ank3,1.0554389
Gphn,1.0293281
Thbs1,1.0037127
Tnni3,0.9423032
Tmtc2,0.9331288
Tanc2,0.93256116
Crim1,0.91490054
Pde7b,0.9122371
Csmd1,0.9077054
Mtarc2,0.88491553
Sox5,0.8667631
Bcat1,0.85886335
Apoe,0.8582444
Greb1l,0.8422245
Pik3r1,0.83664984
Mir6236,0.78475904
Foxp1,0.7793342
Ldhb,0.77521175
Itih5,0.7536797
Gm48099,0.74858326
Pbx1,0.7138292
Mctp1,0.7133368
Zfp385b,0.7114669
Arhgap29,0.7052199
Ghr,0.7033847
Aff3,0.69469464
Zfpm2,0.689924
Igfbp4,0.68572754
Mmp11,0.68411016
Cdk8,0.6696208
Nrip1,0.66393226
Kctd14,0.65521306
Lama1,0.6496858
Fbn2,0.6491088
Foxp2,0.6159777
Itpr1,0.6116253
Ablim1,0.6114564
Kank2,0.60770273
Ntn4,0.59929746
Dock4,0.59551674
Pik3ip1,0.5877366
Rbms1,0.5843938
Dpysl3,0.5820265
Glul,0.57998055
Rora,0.5743211
Tcf7l2,0.5667009
Magi1,0.5664043
Gab2,0.56426513
Cped1,0.5610251
Id3,0.5588685
Atxn1,0.5586409
Rere,0.54842377
Flna,0.5450432
Shroom3,0.54358906
Ccnd2,0.5427934
Akap9,0.54136676
Cmtm3,0.5395864
Nap1l5,0.536794
Fst,0.53514564
Wipi1,0.5319398
Baz2b,0.52603036
Rbms3,0.5254671
Tshz2,0.52279997
Gpx3,0.5215623
Dst,0.5202805
Zeb2,0.52002037
Rock2,0.5197835
Ppp1r9a,0.5183655
H2-K1,0.5150426
Rcn3,0.51495326
Resf1,0.5143712
Cyp1b1,0.51393247
Ppp3ca,0.51108676
C130074G19Rik,0.50995827
Fam13a,0.50860393
Nupr1,0.5067938
Gabarapl1,0.5032327
Ctsd,0.5029714
Csrp2,0.5023152
Zfas1,0.49658343
Tmem176b,0.49536124
Ogt,0.49462163
Inhba,0.4879014
Prpf38b,0.48591542
Selenop,0.47722226
Kcnma1,0.47390017
Pank1,0.47305325
Rarres2,0.46853635
Ahnak,0.4678902
Rad51b,0.46607178
Lpp,0.46599445
B2m,0.4652958
Pak3,0.45821342
Elmo1,0.4581182
Zmynd11,0.451874
Isyna1,0.45161214
Tln1,0.449968
App,0.44053414
Ccn2,0.43993267
Auts2,0.43808928
Ppic,0.43486217
Clk1,0.4346585
Tent5a,0.4346541
Mfge8,0.4329957
Sdc2,0.43199855
Lamp2,0.4312159
