gene,mean_expression
Prpf4b,0.20623223
Mark1,0.20606844
Osbpl9,0.20606832
Rab10,0.20574042
Tgfbr3,0.20524836
Dbi,0.20524812
Baz1b,0.20508406
Mpped2,0.20492011
Safb,0.20491986
Zfp148,0.20491979
Uqcrb,0.2045917
Ctcf,0.20426361
Dnajc7,0.20409952
Ubxn1,0.2039353
Ndufa2,0.20377135
Tm9sf2,0.20327932
Suclg1,0.20311522
Etfb,0.2031151
Nktr,0.20262296
Ccbe1,0.20196688
Sdha,0.20196672
Klhl24,0.20196661
Tmem234,0.20196654
Smc1a,0.20163861
Maml2,0.20081863
Rpl18a,0.2008183
Tuba1a,0.20065477
Numa1,0.20065413
Ccni,0.2003261
Prrc2b,0.20016201
Sytl4,0.200162
Srek1,0.19983406
Myo1e,0.19966993
Ube2k,0.19950591
Ube2d3,0.19950569
Eif3k,0.1993419
Fis1,0.19901355
Smg6,0.19852157
Bnip2,0.19852136
Rcn1,0.19835727
Dmd,0.19802943
Ak2,0.19802932
Gm47283,0.19786519
Ppp1ca,0.19786504
Ergic3,0.19770114
Capzb,0.19770107
Scpep1,0.1975368
Trim28,0.19737284
Trpm7,0.19720887
Ghitm,0.19655274
Map1lc3a,0.19638844
Bmp2,0.19589654
Nek7,0.19589637
Cux1,0.19556819
BC005537,0.1952399
Fmnl2,0.19474794
Septin11,0.1947478
Pdcd4,0.19458368
Manf,0.1940919
Rsrc2,0.1937637
Ggnbp2,0.19376364
9530068E07Rik,0.19359957
Rpl37a,0.19359927
Ckap5,0.1929433
Eif4a1,0.19277905
Nap1l4,0.19245088
Ndufb8,0.19245088
Gpx7,0.19228704
Afdn,0.19228688
Ndufa13,0.19228677
Blmh,0.19212282
Fam53a,0.19212276
Srsf1,0.19212268
C1qtnf7,0.19195907
Prdx6,0.19195881
Eif4g3,0.19195881
Rpl11,0.19195879
Hsd17b1,0.19146691
Snhg1,0.19146667
Grn,0.19146639
U2surp,0.19130258
Rps27l,0.1913025
Prps2,0.19113874
Sdhb,0.1906463
Gstm2,0.19064626
Zranb1,0.18982613
Acadl,0.18982603
Eif3d,0.18982598
Setx,0.18982583
Pawr,0.18949804
Dab2,0.18949781
Ubash3b,0.18933414
Dnajc15,0.18933383
