gene,logfoldchange,pval,pval_adj
Sytl4,1.9330264,9.016888168138019e-98,7.198482387563518e-96
Amhr2,1.6790087,2.209858105917577e-97,1.759059937780397e-95
Prkcd,2.009807,2.4422380639825345e-97,1.9383844727010214e-95
Shroom3,3.8857188,3.255271515809279e-96,2.57619357090263e-94
Ppp1r9a,1.7246512,4.140986567066139e-96,3.2676692555088667e-94
Smarcc1,1.3841286,4.180847682798009e-96,3.289616261770433e-94
Elmo1,2.4412434,1.689245372597434e-95,1.3215319887687034e-93
Tead2,2.2343323,4.195270373353508e-95,3.272670485819166e-93
Hdlbp,1.2656939,5.6510687090436994e-95,4.395758659915103e-93
Tax1bp1,1.1842848,3.334937758730434e-94,2.5721414018818373e-92
Ghr,3.9150598,4.961787765090075e-94,3.8161039816973044e-92
Sdc2,1.8606942,7.230923164044471e-94,5.545671212019837e-92
Cnot6,1.4314125,1.7156499787739616e-93,1.3121118030942712e-91
Nos2,3.2073724,3.506495910787659e-93,2.6667926978338565e-91
Ncl,1.1197166,5.083637803076724e-93,3.855515637150105e-91
Adgrv1,2.8877795,8.33860975722887e-93,6.289200613304415e-91
Creb3l2,1.711959,1.1096252621042539e-92,8.346032653232078e-91
Matr3,1.1915219,4.8146841802112234e-92,3.6015156759536172e-90
Fam53a,1.8888885,1.2271266144280483e-91,9.10441248742636e-90
Canx,1.0687143,1.1132175007408485e-91,8.304420060854477e-90
Me3,3.1397328,1.8209685536604677e-91,1.3401916833687933e-89
Pcbp2,1.0283358,1.821086014466624e-91,1.3401916833687933e-89
Id3,1.3200309,2.3869451881367006e-91,1.7472054818149153e-89
Epas1,1.791918,5.664858738331625e-91,4.135498345793272e-89
Ubc,0.982225,6.351504448891268e-91,4.624403359148754e-89
Mex3a,2.193728,1.0317766742868863e-90,7.432875603708405e-89
Crabp2,2.636462,1.3613876638654795e-90,9.78157036487347e-89
Dock9,1.7449535,1.8671447110126943e-90,1.338022363380042e-88
Trrap,1.5021037,7.568759989986039e-90,5.409682042057299e-88
Mark1,1.8392701,1.162466573238857e-89,8.286899438417889e-88
Rbms3,2.3955965,1.2838878543438238e-89,9.128643251861828e-88
Atp1b3,1.2001367,1.4003632418103366e-89,9.930939634064317e-88
Eya3,2.186447,2.204049772702453e-89,1.550958014023069e-87
Ano4,2.675154,2.4424814648085633e-89,1.7143206024079228e-87
Plxnc1,1.7382305,5.538202665559019e-89,3.8771678814809716e-87
Ywhaz,1.2594686,8.536324463434959e-89,5.960799663047691e-87
Pabpc1,0.99508846,1.8691609147325868e-88,1.2952715851508583e-86
Ppib,1.0614487,2.624902538934661e-88,1.809790758094269e-86
Cdk4,1.1070559,2.8510991291923385e-88,1.9607949502352246e-86
Klf6,2.4101865,4.650319884597325e-88,3.1901428092753962e-86
Cst3,0.95305544,4.447297436482117e-87,2.9981373310684255e-85
Ankrd11,1.2705554,1.105963943860622e-86,7.419197434699402e-85
Srbd1,2.2545335,1.5548809395548156e-86,1.0405126052123806e-84
Itpr1,1.7770333,2.2917217723993845e-86,1.526119013459034e-84
Pdia6,1.0817938,2.3390829098961966e-86,1.5538681432821376e-84
Mpped2,2.501619,5.149500402977548e-86,3.412543919963495e-84
Mprip,1.1455214,7.2105107923697e-86,4.755279617489611e-84
Gpx7,1.6719165,9.206632833989457e-86,6.042516737173418e-84
Enah,1.3175036,2.446136433568979e-85,1.5939585452442442e-83
Map3k5,1.9946201,2.889264466802854e-85,1.8782282794551983e-83
Rapgef4,2.9165921,3.9308714232764986e-85,2.549209597504883e-83
Bcl11a,2.4522512,3.9401034690219416e-85,2.549209597504883e-83
Cct2,1.0477586,6.234876818029117e-85,4.0148783434587026e-83
Nfia,1.2924714,7.993066998630031e-85,5.134934312084606e-83
Atrnl1,1.8865898,4.829607125298801e-84,3.0809056855615227e-82
Rai14,1.6180494,8.048941362867922e-84,5.1226164575846827e-82
Rbms1,1.3984413,1.5361080065744232e-83,9.708415949884602e-82
Akr1cl,1.4936694,2.988948259862258e-83,1.8846940955893586e-81
Mdfic,1.6776661,4.3592446795916916e-83,2.742406854536681e-81
Ptpn13,1.9564879,1.1542030389323793e-82,7.227799443112557e-81
Fhdc1,3.1068764,1.655280428676623e-82,1.0341904243514379e-80
Pak3,1.6611781,2.0602150427020272e-82,1.2813223533233132e-80
Prps2,1.6907017,2.7003773582376006e-82,1.6680634165602085e-80
Ubr5,1.3737235,2.978706522927813e-82,1.835838017957067e-80
Malat1,7.2298737,5.08077061273132e-82,3.124330631518091e-80
Tnks,1.6394391,1.2813803846285012e-81,7.861916548654376e-80
Derl3,2.5009317,1.3965206070695636e-81,8.549148460722039e-80
Gadd45a,1.743724,1.5291461690235409e-81,9.319258449296818e-80
Glg1,1.1320052,1.48137014202029e-81,9.048288364111852e-80
Tpr,1.1530979,4.519414588772129e-81,2.729946383124899e-79
Fus,0.88235563,4.161658172607742e-81,2.5194180285301366e-79
Bmp3,3.5184085,5.553909338266914e-81,3.347425754143522e-79
Nupr1,1.5529233,9.224540107616582e-81,5.547524637847038e-79
Kif21a,1.9817914,1.3276964659269864e-80,7.967054199825167e-79
Kdm5a,1.5327874,3.3523845031902768e-80,2.00284801073532e-78
Smim14,1.457167,5.055082905071689e-80,3.013513723955728e-78
Slc38a2,1.4085712,8.295002352723936e-80,4.912764625518907e-78
Arhgap31,1.8860586,1.0208991254495275e-79,6.033248662802695e-78
Tfdp2,1.7169648,1.6620812701877732e-79,9.780130370676028e-78
Wwtr1,1.7283517,3.378003428674368e-79,1.97917655822095e-77
Limch1,2.8103683,4.3954777735063994e-79,2.564310462607804e-77
Mex3c,1.5240765,4.926445589688023e-79,2.867947631881708e-77
Arid2,1.5521166,5.658930455811674e-79,3.28735698372396e-77
Lama1,1.3514037,1.1165963404703515e-78,6.458989382174153e-77
Fam13a,1.5033001,1.9650526517559613e-78,1.1342882146066175e-76
Qk,1.2648195,3.299292756673887e-78,1.89643347653615e-76
Ddx6,1.0192604,3.856046707667364e-78,2.202544838063641e-76
Fhl1,2.5556805,6.515018573481146e-78,3.698119586522988e-76
Calm2,1.0074143,5.990121154126893e-78,3.4072557889818034e-76
Csrnp3,2.683984,1.0877328241077332e-77,6.161487405936399e-76
Fam168b,1.304973,1.8439068621003616e-77,1.0423227547810802e-75
Ddb1,1.0355526,1.8752310273696802e-77,1.0578395194271566e-75
Tbca,1.0392715,3.2510060704716473e-77,1.8301488400430387e-75
Mid1ip1,1.4784173,3.8856138658967355e-77,2.1784171536053096e-75
Fscn1,1.4184089,5.10161387221224e-77,2.8542902367420243e-75
Casp6,1.7773985,1.4977083454331908e-76,8.36235806858127e-75
Parp1,1.3443921,3.225691534825414e-76,1.7973684892926178e-74
Serbp1,0.89936817,3.415216814133425e-76,1.8990970402502017e-74
Fndc3b,1.1748931,4.932955641522412e-76,2.7374895910667973e-74
Cxxc4,2.4540985,7.695416595031613e-76,4.2618247321328215e-74
Cyfip2,1.8948485,1.2952784499839515e-75,7.158904356257456e-74
Fbln1,1.5873634,2.5041415825675606e-75,1.3756655458519539e-73
Gem,2.400151,5.420446591013375e-75,2.9539811032821994e-73
Cc2d2a,1.7510145,5.73740323018284e-75,3.1142807235324474e-73
Pum1,1.2354951,8.089168092966919e-75,4.382114215124519e-73
Tle1,2.0475316,1.2043703399314297e-74,6.511469978445115e-73
Kcnj3,2.5954173,1.5054322651832458e-74,8.123086390572758e-73
Itpkb,1.8170056,1.6482622629560145e-74,8.876233642108099e-73
Afdn,1.5844611,2.1081886429120195e-74,1.13306839601234e-72
Luc7l3,0.9921519,7.6679699241942e-74,4.1131352227951714e-72
Appbp2,1.2519289,9.475046481096871e-74,5.072494001438978e-72
Setx,1.6971041,1.4171331951622093e-73,7.527624052045486e-72
Nap1l1,1.2178574,1.4870062732315435e-73,7.883443160784628e-72
Pdcd4,1.3753436,1.7461463867457375e-73,9.239347828937767e-72
Hipk3,1.789431,2.1401626844806465e-73,1.1302294347074486e-71
Hnrnpa2b1,0.9626538,4.7950025809902105e-73,2.527373657698373e-71
Sptlc2,1.6446719,5.62363769282403e-73,2.9584235053405487e-71
Prrc2b,1.5220249,6.370354972467192e-73,3.3448038810244568e-71
Itga2,2.9297767,8.249852319392975e-73,4.3151033109576764e-71
Insr,1.6605436,8.249950292348487e-73,4.3151033109576764e-71
Ddah1,2.2145085,9.680812879452153e-73,5.053828566877287e-71
Slco3a1,1.6246318,1.0973211821804828e-72,5.717587831502619e-71
Slc4a7,2.2868938,1.212904240771281e-72,6.307795140148244e-71
Hectd1,1.1901928,1.3222311525730943e-72,6.863284630932166e-71
Camta1,1.3807421,2.0821569254079622e-72,1.0787311296852673e-70
Ubash3b,2.032729,4.0224853867921747e-72,2.076104319765345e-70
Prkd1,2.9008007,4.504779415544437e-72,2.320641365709618e-70
Slc8a1,2.3575659,8.11328415098532e-72,4.171694862040531e-70
Tex15,2.1929874,1.048125363772722e-71,5.379129099076433e-70
Adamts5,3.7250242,1.3563703555011281e-71,6.909138025419273e-70
Pawr,1.851485,1.548655742620425e-71,7.85928396668503e-70
Sncaip,2.8106186,1.6302321806972816e-71,8.251453898463563e-70
Ccdc3,2.5208762,1.9980318407492045e-71,1.0083597661363314e-69
4933431K23Rik,3.894275,2.4459446869816e-71,1.2298642318353337e-69
Golgb1,1.295308,5.3328492836858715e-71,2.6618424861512863e-69
Hspa4,1.1573137,7.312776214036901e-71,3.6434439593403196e-69
Wipi1,1.1623963,8.751617966294409e-71,4.3523756891390935e-69
1110032F04Rik,3.7993004,1.7837918454813294e-70,8.838996144678174e-69
Zfp292,1.3579836,2.2548522717653408e-70,1.1112677179785037e-68
Ncor1,1.0028101,2.742057562007817e-70,1.34894410118017e-68
Med13,1.4864024,4.8731729967142907e-70,2.3930259411742853e-68
Smad4,1.2910087,6.207586155764482e-70,3.042831684216116e-68
Unc13b,2.2618852,1.1349157306695718e-69,5.533322177584165e-68
Ss18,1.3223504,2.201862574997213e-69,1.0716123687192318e-67
H3f3b,0.81294525,3.7340007356969144e-69,1.8108245486098198e-67
Slc66a2,2.105827,4.450678907705317e-69,2.1507413489748368e-67
Eya2,2.2875428,5.221107713461533e-69,2.5185848745696155e-67
Pcdh9,2.4107246,6.554086917830289e-69,3.156018256040924e-67
Spag9,1.3608353,1.331631952251803e-68,6.378517051286136e-67
Flna,1.1127732,1.4054350374195483e-68,6.70849524941712e-67
Eif4b,1.0590333,1.9111537182086143e-68,9.106497376657906e-67
Cd200,1.9034182,2.9713070993589596e-68,1.4108799605877857e-66
Tbl1xr1,1.5991431,5.194605186779908e-68,2.453776910288094e-66
Rsf1,1.2482139,5.336667748445586e-68,2.5165291802385117e-66
Jmy,1.5611135,1.2023113580347394e-67,5.650035629676848e-66
Cndp2,1.5260228,1.2363694106265237e-67,5.800102065006181e-66
Mef2c,1.9446241,1.7029194630288015e-67,7.947830786166729e-66
Brd3,1.1522595,1.66976743076927e-67,7.806448657926948e-66
Tpm1,0.8467764,2.2429251666797616e-67,1.0450270618747019e-65
Rbm39,0.84682375,2.8834427314357276e-67,1.3411692827323622e-65
St13,1.0563266,3.766842808394437e-67,1.7490834897549884e-65
Atxn7l3b,1.0726423,6.748327282593321e-67,3.1228742338414483e-65
Rcn1,1.3820258,7.672457574297888e-67,3.5445196133850294e-65
Myh10,1.4447764,8.029302021319808e-67,3.7031086670286267e-65
Zranb1,1.4773641,1.691893604390947e-66,7.789843352560881e-65
Fst,1.2269782,3.3168777978483076e-66,1.5194750757492002e-64
Bicd1,1.7704344,3.6997782048907247e-66,1.6920442936035422e-64
Elf1,1.5622078,4.66123165865806e-66,2.124634523812037e-64
Nectin3,1.8083073,6.092847444211421e-66,2.7688729661291205e-64
Sema3c,2.3814628,9.757261159210418e-66,4.425290721427277e-64
Gab2,1.5233414,1.0823778091246245e-65,4.876594277645152e-64
Zfp950,1.6104378,1.6501735635846369e-65,7.41031065897226e-64
C430049B03Rik,2.0277708,2.0716833380810138e-65,9.257474661149905e-64
Omd,3.7644117,2.1824152835758926e-65,9.736353674423627e-64
Arhgap5,1.1063852,2.0143826330234473e-65,9.03098342026916e-64
Tbl1x,1.1960118,2.3892438068555904e-65,1.0641684120485837e-63
Il17ra,2.5786726,3.0622697778792226e-65,1.3617125691439156e-63
C1qtnf7,2.3540077,3.4343044558880532e-65,1.524663651367667e-63
Irs2,2.8947587,3.6242656149328975e-65,1.6037815897003713e-63
Itih2,3.5760455,4.119228662420305e-65,1.8139887124203483e-63
Nexmif,1.4520314,3.956883759771352e-65,1.7453117494836387e-63
Dync1h1,1.0900491,3.940686496012985e-65,1.7409799903016594e-63
Dhx9,1.0678743,4.494697624870158e-65,1.97614700888615e-63
Ppp2r3a,1.7394009,5.514694984308458e-65,2.4168172898326458e-63
Col6a4,1.9322857,9.747037060804521e-65,4.251171771104566e-63
Ogt,1.1533346,1.04942618854593e-64,4.5697740392136406e-63
Rcn3,1.0917045,1.4704796943745655e-64,6.38291050803001e-63
Gsk3b,1.1311675,2.0135496603220428e-64,8.712511311532922e-63
Igf1,1.5478035,2.686607193422647e-64,1.160639813323078e-62
Adamts6,2.8390963,4.0879893253178226e-64,1.7604790622894718e-62
Baz2b,1.1433337,4.733964873950517e-64,2.0354557945428498e-62
Carhsp1,1.1688571,5.4255139461617226e-64,2.3291321898121625e-62
Kdm7a,1.4432651,1.2811118287248248e-63,5.473896128274474e-62
Maml2,2.2398226,2.4541115162149665e-63,1.0420623130204857e-61
Hnrnph1,0.9988687,2.436364797200683e-63,1.0361381317440847e-61
F11r,1.2541353,2.5330139322525244e-63,1.0738956427374329e-61
Ccbe1,1.6311228,2.8060866606211803e-63,1.1878230092238773e-61
Kdm5b,1.2705473,3.5393888809539803e-63,1.4959123005679029e-61
Ppp3ca,1.1699045,4.1387758963654893e-63,1.7438425663343667e-61
Metrnl,1.7720774,4.878527926836344e-63,2.0523643757536625e-61
Cop1,1.6126897,6.729728140021646e-63,2.8181252669786966e-61
Camk2d,1.4961705,7.89268546646167e-63,3.295015157351728e-61
Hmgcs2,0.8548413,7.572784560933614e-63,3.166305311901538e-61
Atxn10,1.1024058,8.463134266237428e-63,3.527770303375275e-61
Cdc42ep3,2.5433486,1.049967734757565e-62,4.3633590657664835e-61
Tra2a,1.1203196,1.0262311190942532e-62,4.2712177202180475e-61
Krt20,4.38583,1.3355854185544996e-62,5.541867580971657e-61
Calr,0.86480975,2.161788989351526e-62,8.942927996403744e-61
Col4a5,2.390066,3.334971123296928e-62,1.3754488909271302e-60
Pid1,2.4267063,6.336258770951722e-62,2.6014868153878926e-60
Mfge8,1.1286238,6.578069181269641e-62,2.696712054897973e-60
Gm2044,1.6362784,8.0943268914391e-62,3.308374358038349e-60
Acin1,0.96083444,8.9764056759926e-62,3.6634200922515094e-60
Usp22,1.4870695,1.0335803508702703e-61,4.211917062658357e-60
Luc7l2,0.934805,1.5507270509942908e-61,6.300520933526357e-60
Kazald1,1.6397109,1.6662404195801014e-61,6.759786355987445e-60
Golga4,1.0749062,2.2186055790190068e-61,8.974013055400881e-60
Wwc2,1.3347297,2.468912276412451e-61,9.971702941255792e-60
Kank1,2.0271196,3.392778813526682e-61,1.366269025748068e-59
Pdlim1,1.758898,3.466429537441201e-61,1.393872248317483e-59
Fam3c,1.3684695,5.129790643712028e-61,2.0566618787851612e-59
Neb,2.9876337,6.680335862266679e-61,2.674387244097758e-59
Fam210a,1.6773717,1.0104640706954146e-60,4.033435748859197e-59
Rpl32,0.7213676,1.219410757344962e-60,4.853290365566982e-59
Asb4,3.7784884,2.0432554189402266e-60,8.085072855554348e-59
Dhx32,1.5734074,1.9719621149189878e-60,7.825651398783885e-59
Csrp2,1.0553081,2.0319874343173428e-60,8.052155721214284e-59
Pbxip1,1.2377483,2.0891802725589336e-60,8.242903032034185e-59
Greb1,1.0721042,2.047409222010735e-60,8.089784947693068e-59
Ddx17,0.94630975,2.2648869123858852e-60,8.92326224659045e-59
Ppic,1.1383748,2.744939234461064e-60,1.079900229373061e-58
Nf1,1.6169307,4.403575873644134e-60,1.7274544838808306e-58
Epn2,1.6013968,6.120456763745079e-60,2.3940806736465888e-58
Kif1b,1.1510994,7.070822572022713e-60,2.7618693660076702e-58
Gpc6,3.5963266,1.0240580912378329e-59,3.97722020840207e-58
Khdrbs1,1.1377037,1.015114266998936e-59,3.9481004034005624e-58
Rimklb,1.6345422,1.0532540427081764e-59,4.084800444326895e-58
