gene,logfoldchange,pval,pval_adj
Tdrd5,4.1491838,0.0,0.0
Ivns1abp,4.7724466,0.0,0.0
Grb14,4.039065,0.0,0.0
Gja1,3.536639,0.0,0.0
Tenm4,4.84085,0.0,0.0
Sox4,3.2718465,0.0,0.0
Adamts2,3.3729858,0.0,0.0
Ctsl,2.6747954,0.0,0.0
Prss23,4.485651,5.4482477900579595e-308,3.164968285360691e-305
Esr2,3.7532773,3.8552506418397345e-306,2.192914755711464e-303
Foxo1,3.7793877,6.055407733138452e-306,3.3740979048546763e-303
Rgs2,2.691493,7.283395870293322e-305,3.9771711489323713e-302
Itm2b,2.284794,2.7410311753302063e-294,1.467419101569424e-291
Ptprd,5.053468,9.886234822043565e-284,4.998590173078805e-281
Clu,2.776799,5.60404037040968e-278,2.732269897023134e-275
Serpine2,3.0689616,3.264061118217409e-276,1.5365286329429296e-273
Me2,3.0484796,1.904965787905171e-275,8.815471340199134e-273
Bmpr2,3.141466,3.90552571871967e-273,1.719880140293599e-270
Syne2,2.8711436,1.2953707244906338e-271,5.613889982661551e-269
Inha,3.003347,5.648183735476304e-262,2.3724978543032234e-259
Map4k4,2.5155985,5.012081170650621e-256,2.0124242970922633e-253
Thbs1,3.857864,1.0794319317451237e-251,4.037223292114673e-249
Akr1c14,2.8392637,1.8025722588353865e-243,6.309696202946482e-241
Tshz1,2.4993362,3.512472567177726e-243,1.2139371962234614e-240
Tceal9,2.0854475,5.514850114628336e-242,1.8589129960456475e-239
Mast4,4.6569223,1.0234539416374191e-237,3.366670237171862e-235
Gtf2e2,2.8246603,6.86774505557981e-235,2.2322624196725662e-232
Nr5a2,2.715905,9.207809902070456e-231,2.9232655087933684e-228
Mmp11,2.8949301,5.982376612938223e-229,1.8148536518116925e-226
Crim1,3.5932164,1.6120384158436443e-226,4.732632781481615e-224
Pik3ip1,3.6993258,1.594218377861928e-225,4.630525996889811e-223
8030451A03Rik,3.3047423,3.066108884674571e-223,8.720205299819772e-221
Cnmd,2.7706432,8.264671637356011e-218,2.234161680343873e-215
St3gal5,2.031484,5.621802044124993e-210,1.4345052449602307e-207
Bcat1,2.1501389,6.200251996223793e-210,1.5674581504897987e-207
Arhgef28,3.5432687,1.0283362317670127e-207,2.5524240123577046e-205
Cfh,2.3817902,3.941270963396152e-207,9.694461361586047e-205
Rps5,2.0253747,2.1570771112479697e-205,5.21191826269056e-203
Ank3,4.0465317,5.020206088222559e-204,1.202339358129303e-201
Mras,2.4294372,9.589723326144364e-204,2.2767670954236483e-201
Bex4,2.4892309,1.1324205032385013e-202,2.642604871788103e-200
Sema5a,3.508571,1.6702619798703517e-198,3.8646748166440856e-196
Bmpr1b,3.287114,3.976414708262219e-194,9.123365611738099e-192
Kcnq5,5.3467956,1.2885560293196263e-192,2.9317871057094797e-190
Tut4,2.2916303,3.071731222939611e-191,6.87438340819018e-189
Hsp90ab1,2.215975,2.3901024980635485e-188,5.220557480370325e-186
Plxdc2,2.9646335,9.188685608541097e-188,1.9911006600793457e-185
Pde7b,4.0209265,1.2737521910270983e-186,2.738366619812037e-184
Gls,2.24422,7.059201639168095e-185,1.4940882353039264e-182
Hpgd,3.065012,7.9941790411863e-185,1.6789620797039194e-182
Nedd4,1.6676233,4.074951953071257e-184,8.493008639290423e-182
Itih5,3.1298447,4.046650591935133e-183,8.307195572301122e-181
Plod2,2.0931036,4.333999106968289e-183,8.830684896832477e-181
Mtarc2,2.2038562,9.681345710155283e-182,1.943601337679189e-179
Pik3r1,2.57103,3.264546449678367e-181,6.505978957340762e-179
Ntn4,3.077655,3.63923771735821e-181,7.200152709929798e-179
Cyb5a,1.8935143,9.246545867724642e-181,1.816247782924359e-178
Itsn1,2.5525808,5.2974834048554505e-180,1.0257956695231799e-177
Dag1,1.9081857,7.472263033775148e-180,1.4367267437405837e-177
Col9a2,3.7190738,2.717083361056875e-176,5.116174276340404e-174
Rps3,1.5775971,2.4917470236143914e-176,4.724456179565537e-174
Prkar2b,2.0364728,4.1492429649972654e-176,7.759368539268517e-174
Tmtc2,3.3161383,3.0007701683138005e-175,5.57347128608651e-173
Zfp385b,4.1863914,5.226854428495644e-173,9.577772245719233e-171
Ptbp3,2.2510257,1.2916979667006782e-171,2.351148638988574e-169
Actb,1.762437,9.193973206557922e-170,1.6406735324094834e-167
Foxp2,3.5349007,3.6020203156957596e-168,6.344900688996214e-166
Igf1r,2.209129,3.5545057083514456e-168,6.301861646436331e-166
Cables1,3.4281712,2.0850567613086387e-167,3.6492503047442154e-165
Heph,2.7754867,3.6052570780059994e-164,6.230021139291e-162
Jak1,1.7051952,2.0398437664198436e-163,3.480865897160062e-161
Tubb5,1.404278,7.15918794229479e-163,1.2140826607979793e-160
Rhobtb1,3.0532644,2.426263184387476e-161,4.0891520816871143e-159
Mlf1,2.8807945,3.632995049275013e-161,6.085378149101577e-159
Greb1l,2.6988204,1.5887487877254203e-160,2.644976106784582e-158
Rack1,1.4103463,7.723966411568134e-159,1.2781057874851197e-156
Ubn2,2.0862036,1.0230165358658993e-157,1.6527467738903342e-155
Tnni3,1.7214574,8.674891053047734e-156,1.3932385318903663e-153
Cald1,2.023363,1.3566091370853584e-153,2.166052588879622e-151
Ttc3,1.7522376,1.8751851152881855e-153,2.976638325739147e-151
Tent5a,3.2709439,7.559481531052845e-153,1.1794087099562046e-150
Cyp1b1,2.2901518,4.261548846383436e-152,6.610969781409486e-150
Scaf11,1.740046,7.6038924458286025e-152,1.172932629652307e-149
Ywhaq,1.9191341,2.5592794774050966e-150,3.8605529045078095e-148
Tcf7l2,2.8348968,5.059089926144828e-148,7.589468805139134e-146
Rpl4,1.6417695,2.643437850722456e-147,3.943922603184438e-145
Eif3f,1.4560115,1.8628838121108527e-145,2.7642563435903594e-143
Fbn2,3.6846104,3.524321901340115e-145,5.201327614718333e-143
Bmp2,3.8262556,1.3847633709077457e-144,2.032698619134096e-142
Arhgap29,1.8537213,1.912510557642198e-144,2.7923676874494615e-142
Tanc2,2.5476332,1.49968046864828e-143,2.143757897146806e-141
Tanc1,1.9487114,2.93239424052118e-142,4.1269670076778236e-140
Eef2,1.3716668,4.21391013756686e-142,5.900122486460922e-140
Cpe,1.3981664,7.284585067736193e-142,1.0147501331857209e-139
Bex3,1.4803963,5.181543986147722e-141,7.181304337755901e-139
R3hdm1,2.0839097,2.421106648123445e-140,3.3217826539554983e-138
C130074G19Rik,2.3555381,2.507706914196464e-140,3.423396093915303e-138
Snx18,2.1560497,2.050527346803711e-138,2.771561789593155e-136
Hsp90b1,1.7521818,2.621193993485466e-137,3.52544135980954e-135
Chchd10,1.3826493,8.474819449765354e-137,1.123242696295842e-134
Tsc22d1,1.6271772,9.308663179994722e-137,1.227799182625101e-134
Ddit4l,2.6027591,6.7862988732803645e-136,8.865374073548986e-134
Rps14,1.4603502,9.13420252809326e-136,1.187576817259668e-133
Map1b,1.6491013,7.942668571900316e-135,1.0229183019745016e-132
Ccn2,4.3127036,4.1802940104829733e-134,5.333741128336873e-132
Npm1,1.3344564,4.180568441065417e-134,5.333741128336873e-132
Aff3,2.9467506,2.1618105010108375e-132,2.7325885235693933e-130
Apoa4,2.280113,1.5113164488928563e-131,1.90154253475215e-129
Zfpm2,2.6616716,8.323890155364785e-129,1.019135304537779e-126
Mbnl2,1.7190498,3.0352770551839284e-128,3.683207530563858e-126
Mboat2,2.2434456,4.701547572332564e-127,5.630103217868246e-125
Foxp1,2.078946,3.228756244084513e-125,3.767296227873481e-123
Hnrnpu,1.2415265,1.949979186746974e-124,2.2559441413454503e-122
Nrip1,1.706243,6.652473182641834e-124,7.663817523445992e-122
Rasl10a,2.567931,1.4209303787107255e-123,1.6300698373923925e-121
Kank2,1.6370494,7.589695963969293e-123,8.670354347458309e-121
Myl12a,1.3551859,4.2903071859070184e-122,4.8807607123674715e-120
Rps9,1.1148667,9.935760515067914e-122,1.1256268437464702e-119
Prkab2,2.9004362,1.815121912061297e-121,2.047862544008661e-119
Csmd1,3.4407368,2.742678945983713e-121,3.081619887333058e-119
Sox5,2.436763,7.102755388930546e-121,7.883192292031329e-119
Marcksl1,1.5038493,2.7331460901117848e-120,3.0089954717065346e-118
Mctp1,3.0414782,3.289577247784733e-120,3.607041268926368e-118
Magi1,2.50117,5.339198200551691e-120,5.831045138786513e-118
Arrdc3,2.543963,3.0713760744627157e-119,3.340947448647631e-117
Rpl8,1.1175662,1.5079104706775722e-118,1.633749189718641e-116
Ece1,1.5195194,2.0374043902812882e-118,2.190049294009843e-116
Dpysl3,2.2806113,8.686420757620697e-118,9.228223577638828e-116
Agt,2.207083,3.632417283210972e-117,3.7998424936210406e-115
Eef1b2,1.1464788,1.111150415348706e-116,1.1535262277667573e-114
Maged1,1.2553316,1.363935332136999e-115,1.3999821944863338e-113
Hspa5,1.5096825,5.940892945516612e-115,6.075063673836707e-113
Atrx,1.2441692,2.9167076220828854e-114,2.9604040225178073e-112
Purb,1.4407237,4.571364200644258e-114,4.622665065562598e-112
Zadh2,1.6524705,5.540328800629587e-114,5.581830156590023e-112
Zbtb20,1.6968535,6.207465861329889e-114,6.230972073966543e-112
Sptbn1,1.3178205,3.48650335773252e-113,3.4741606268675546e-111
Dst,1.9468533,7.710971623850269e-112,7.573117203092945e-110
Txnl1,1.416141,2.9020831775165718e-111,2.829842035561963e-109
Col11a1,3.900977,6.854685006188262e-111,6.636647685246741e-109
Lrp1,1.437797,6.0936128011833854e-111,5.920779726359786e-109
Gm42303,4.790061,8.976367158781854e-111,8.660132598453037e-109
Egr1,2.879302,1.2971506279257281e-110,1.2470459012062027e-108
Rnf19b,1.9904693,2.846941967546697e-110,2.727370404909736e-108
Spsb1,1.5354016,9.891156037881093e-110,9.409694540148693e-108
Chd4,1.2068007,2.9154054127984425e-109,2.744803930539168e-107
Txnip,1.154271,2.5346708771862066e-108,2.378148417863058e-106
Itgav,1.9815795,5.333185480687535e-108,4.969691576082313e-106
Obsl1,1.4604416,1.6151753852808083e-107,1.4999705287184323e-105
R3hdm2,1.9203984,3.2575176159657926e-107,3.0149153718208145e-105
Pbrm1,1.4753647,4.0745834915967413e-107,3.758390306454926e-105
Dock4,2.822045,1.096392782766109e-106,9.978270715954357e-105
Cmtm3,1.5995634,1.7182229938860783e-106,1.5482720264710098e-104
Rplp0,1.0537698,2.6072682665920324e-106,2.341652811932969e-104
Arhgap28,2.0988803,8.761531742205193e-106,7.817519645667594e-104
Cryl1,2.163752,1.924260894601839e-105,1.7057823118608442e-103
Apoa1,2.285793,8.980990554026745e-105,7.834120929603585e-103
Ablim1,1.498881,1.7992828914653272e-104,1.564516585531141e-102
St3gal4,1.6644634,2.984306130834545e-103,2.5784971610815057e-101
Arxes2,3.0462053,3.461645755160163e-101,2.962799813577992e-99
Klhl24,1.7656748,1.0093400342190763e-100,8.558388495119082e-99
Eif3a,1.2371744,1.6864220502879833e-100,1.4255226389787247e-98
Kdm1a,1.5551302,1.3626981796885923e-99,1.1447922584626965e-97
Prpf19,1.3951343,3.1147707363007696e-99,2.6086682642092e-97
Pdia3,1.0964315,7.369763601805046e-99,6.079053039881667e-97
Sfpq,1.275519,1.484251875338657e-98,1.2169528213925329e-96
Atxn1,2.3982866,1.8447312363950255e-98,1.507984938541718e-96
Ssr3,1.2269504,3.0298440117504413e-98,2.447450622864565e-96
Tgif1,1.7161655,5.625336580730972e-98,4.517310725402875e-96
