dimension,kernel_family,smoothness,bandwidth,decay_true,lag,pseudo_decay,decay_shift,variance_factor,covariance_factor,smoothed_correlation,asymptotic_scale,leading_coefficient,leading_shift,coefficient_ratio,quadrature_order
3,uniform,0.5,0.004,1.0,1.0,0.9947136644989251,0.005286335501074935,0.9947223072883716,0.3678774791184575,0.3698293246497077,0.004,1.3234143643581016,0.005293657457432406,0.9986168435686764,48
3,uniform,0.5,0.008,1.0,1.0,0.9894419737693375,0.010558026230662487,0.9894764035499511,0.3678715926079592,0.3717840984263433,0.008,1.3234143643581016,0.010587314914864813,0.9972336060240162,48
3,uniform,1.0,0.002,1.0,1.0,0.9999656828922959,3.431710770407381e-05,0.9999745315654478,0.6019063486418577,0.6019216786447358,2.4858432393688764e-05,1.4296253982604017,3.5538246310956566e-05,0.9656387488510858,48
3,uniform,1.0,0.004,1.0,1.0,0.9998785806575029,0.00012141934249709774,0.9999092161903674,0.601903703968555,0.6019583520409933,8.834337468579593e-05,1.4296253982604017,0.0001262979322188489,0.9613723705840446,48
3,uniform,1.0,0.008,1.0,1.0,0.9995776695714726,0.00042233042852735103,0.9996812201407302,0.6018931251678028,0.6020850577577832,0.0003090120791873473,1.4296253982604017,0.00044177151677548616,0.9559928888353041,48
3,uniform,1.5,0.002,1.0,1.0,0.9999946842792823,5.315720717713468e-06,0.9999960088174492,0.735757901331434,0.7357608378872518,4e-06,1.3333333333333333,5.333333333333333e-06,0.9966976345712754,48
3,uniform,1.5,0.004,1.0,1.0,0.999978807204008,2.1192795991997748e-05,0.9999840704460011,0.735754958301791,0.7357666787368305,1.6e-05,1.3333333333333333,2.133333333333333e-05,0.9934123121248946,48
3,uniform,1.5,0.008,1.0,1.0,0.9999157852012122,8.421479878784055e-05,0.9999365620750909,0.7357431862538716,0.7357898632359645,6.4e-05,1.3333333333333333,8.533333333333332e-05,0.9868921732950066,48
3,uniform,2.5,0.002,1.0,1.0,0.9999986666754384,1.3333245616475864e-06,0.9999986666705698,0.8583845452241502,0.8583856897350528,4e-06,0.3333333333333333,1.3333333333333332e-06,0.9999934212356899,48
3,uniform,2.5,0.004,1.0,1.0,0.999994666806595,5.3331934050104834e-06,0.9999946667289952,0.8583820927043526,0.8583866707130945,1.6e-05,0.3333333333333333,5.333333333333333e-06,0.9999737634394658,48
3,uniform,2.5,0.008,1.0,1.0,0.9999786688917373,2.1331108262745424e-05,0.9999786676599625,0.858372282742884,0.858390594222925,6.4e-05,0.3333333333333333,2.133333333333333e-05,0.9998956998161919,48
