dimension,kernel_family,smoothness,bandwidth,decay_true,lag,pseudo_decay,decay_shift,variance_factor,covariance_factor,smoothed_correlation,asymptotic_scale,leading_coefficient,leading_shift,coefficient_ratio,quadrature_order
1,epanechnikov,0.5,0.002,1.0,1.0,0.9989708995440933,0.0010291004559066508,0.9989722280637663,0.3678797354750962,0.3682582209398656,0.002,0.514285714285714,0.001028571428571428,1.0005143321314667,48
1,epanechnikov,0.5,0.004,1.0,1.0,0.9979407408427462,0.002059259157253801,0.9979460530837496,0.3678806183872686,0.36863778082039805,0.004,0.514285714285714,0.002057142857142856,1.001028756998376,48
1,epanechnikov,0.5,0.008,1.0,1.0,0.9958772475638219,0.004122752436178101,0.9958984818478629,0.3678841500541209,0.36939924777425276,0.008,0.514285714285714,0.004114285714285712,1.002057883793289,48
1,epanechnikov,1.0,0.002,1.0,1.0,0.9999916933739976,8.306626002374529e-06,0.9999944300830157,0.6019073749032372,0.6019107274960214,2.4858432393688764e-05,0.28592507965208036,7.107649262191315e-06,1.1686882253125648,48
1,epanechnikov,1.0,0.004,1.0,1.0,0.9999699441839376,3.0055816062413143e-05,0.9999799383707948,0.6019078090184735,0.6019198845120078,8.834337468579593e-05,0.28592507965208036,2.525958644376978e-05,1.1898775987215873,48
1,epanechnikov,1.0,0.008,1.0,1.0,0.9998924566681919,0.00010754333180806874,0.9999286253059265,0.6019095454378438,0.6019525096140643,0.0003090120791873473,0.28592507965208036,8.835430335509723e-05,1.2171827259601666,48
1,epanechnikov,1.5,0.002,1.0,1.0,0.9999984020293747,1.5979706252666759e-06,0.9999992010150514,0.7357588823426829,0.7357594702034255,4e-06,0.4,1.6e-06,0.9987316407916724,48
1,epanechnikov,1.5,0.004,1.0,1.0,0.9999936162160729,6.3837839271441155e-06,0.9999968081138362,0.7357588823396559,0.7357612308057484,1.6e-05,0.4,6.4e-06,0.997466238616268,48
1,epanechnikov,1.5,0.008,1.0,1.0,0.9999745294275599,2.547057244006723e-05,0.9999872648057502,0.7357588822912215,0.7357682524428393,6.4e-05,0.4,2.56e-05,0.9949442359401262,48
1,epanechnikov,2.5,0.002,1.0,1.0,0.9999994666675474,5.333324526457517e-07,0.9999997333336068,0.8583852646321477,0.8583854935347113,4e-06,0.13333333333333333,5.333333333333333e-07,0.9999983487107844,48
1,epanechnikov,2.5,0.004,1.0,1.0,0.99999786668077,2.1333192300465598e-06,0.9999989333377111,0.8583849703280902,0.8583858859359441,1.6e-05,0.13333333333333333,2.1333333333333334e-06,0.9999933890843249,48
1,epanechnikov,2.5,0.008,1.0,1.0,0.9999914668916876,8.533108312391846e-06,0.9999957334031979,0.8583837931058065,0.8583874554989791,6.4e-05,0.13333333333333333,8.533333333333334e-06,0.9999736303584195,48
1,uniform,0.5,0.002,1.0,1.0,0.998665777698943,0.0013342223010569532,0.998667998934044,0.36787993167762545,0.3683706017117724,0.002,0.6666666666666661,0.0013333333333333322,1.0006667257927158,48
1,uniform,0.5,0.004,1.0,1.0,0.9973297771482226,0.0026702228517774262,0.9973386581446981,0.36788140319931417,0.36886307393685763,0.004,0.6666666666666661,0.0026666666666666644,1.0013335694165357,48
1,uniform,0.5,0.008,1.0,1.0,0.9946524394281314,0.0053475605718685815,0.9946879319149624,0.367887289333158,0.3698519681694593,0.008,0.6666666666666661,0.005333333333333329,1.00266760722536,48
1,uniform,1.0,0.002,1.0,1.0,0.9999866162480759,1.3383751924056497e-05,0.9999910390245978,0.6019074713736917,0.6019128651000701,2.4858432393688764e-05,0.4765417994201339,1.184608210365219e-05,1.1298040826452012,48
1,uniform,1.0,0.004,1.0,1.0,0.9999517491859912,4.8250814008832243e-05,0.9999678528023322,0.6019081948958777,0.6019275451796542,8.834337468579593e-05,0.4765417994201339,4.20993107396163e-05,1.1461188594574128,48
1,uniform,1.0,0.008,1.0,1.0,0.9998281264264279,0.00017187357357206778,0.999886197194773,0.6019110888768331,0.6019795958435294,0.0003090120791873473,0.4765417994201339,0.0001472571722584954,1.1671660601383866,48
1,uniform,1.5,0.002,1.0,1.0,0.9999973375936164,2.6624063835800627e-06,0.9999986687978688,0.7357588823423614,0.7357598617874574,4e-06,0.6666666666666666,2.6666666666666664e-06,0.9984023938425236,48
1,uniform,1.5,0.004,1.0,1.0,0.9999893673647345,1.0632635265461765e-05,0.9999946836992527,0.7357588823345134,0.7357627938708042,1.6e-05,0.6666666666666666,1.0666666666666666e-05,0.9968095561370406,48
1,uniform,1.5,0.008,1.0,1.0,0.9999576047764673,4.239522353266523e-05,0.999978802655527,0.7357588822089427,0.7357744786740216,6.4e-05,0.6666666666666666,4.266666666666666e-05,0.9936380515468414,48
1,uniform,2.5,0.002,1.0,1.0,0.9999991111133583,8.88886641736697e-07,0.9999995555562651,0.8583851992313044,0.858385580735398,4e-06,0.2222222222222222,8.888888888888888e-07,0.9999974719537842,48
1,uniform,2.5,0.004,1.0,1.0,0.9999964444803523,3.5555196477021767e-06,0.9999982222335653,0.8583847087240748,0.858386234734311,1.6e-05,0.2222222222222222,3.555555555555555e-06,0.9999899009162373,48
1,uniform,2.5,0.008,1.0,1.0,0.9999857783503873,1.4221649612733422e-05,0.999992889069827,0.8583827466794611,0.8583888506226393,6.4e-05,0.2222222222222222,1.422222222222222e-05,0.9999597383953189,48
2,epanechnikov,0.5,0.002,1.0,1.0,0.9983921223504639,0.0016078776495360714,0.998393414291914,0.3678794411709714,0.36847142209154177,0.002,0.8040922469137811,0.0016081844938275623,0.9998091983272637,48
2,epanechnikov,0.5,0.004,1.0,1.0,0.9967848582914625,0.003215141708537539,0.9967900213043617,0.3678794411639082,0.3690641291558227,0.004,0.8040922469137811,0.0032163689876551246,0.9996184271387094,48
2,epanechnikov,0.5,0.008,1.0,1.0,0.9935721704795071,0.0064278295204929226,0.993592784458033,0.3678794410508954,0.3702517236491,0.008,0.8040922469137811,0.006432737975310249,0.9992369571345567,48
2,epanechnikov,1.0,0.002,1.0,1.0,0.9999849946372975,1.5005362702491531e-05,0.9999891848945803,0.6019070380835273,0.6019135478420008,2.4858432393688764e-05,0.5718501593041607,1.421529852438263e-05,1.0555784443607534,48
2,epanechnikov,1.0,0.004,1.0,1.0,0.9999463194467647,5.3680553235291306e-05,0.9999611756326388,0.6019064617377209,0.6019298312826163,8.834337468579593e-05,0.5718501593041607,5.051917288753956e-05,1.0625778326733353,48
2,epanechnikov,1.0,0.008,1.0,1.0,0.999810631776602,0.00018936822339798987,0.9998624458482561,0.6019041562842332,0.6019869620901644,0.0003090120791873473,0.5718501593041607,0.00017670860671019446,1.0716412002985085,48
2,epanechnikov,1.5,0.002,1.0,1.0,0.9999976048520531,2.3951479468653503e-06,0.9999984024277568,0.7357585880391972,0.735759763468573,4e-06,0.6000000000000001,2.4000000000000003e-06,0.9979783111938958,48
2,epanechnikov,1.5,0.004,1.0,1.0,0.9999904387524501,9.561247549916274e-06,0.9999936194038028,0.7357577051265205,0.7357623997292903,1.6e-05,0.6000000000000001,9.600000000000001e-06,0.9959632864496117,48
2,epanechnikov,1.5,0.008,1.0,1.0,0.9999619090025931,3.809099740692545e-05,0.9999745549391061,0.7357541734515978,0.7357728952377212,6.4e-05,0.6000000000000001,3.8400000000000005e-05,0.9919530574720169,48
2,epanechnikov,2.5,0.002,1.0,1.0,0.9999993333352529,6.666647470732201e-07,0.999999466667427,0.8583850684298799,0.8583855262348412,4e-06,0.16666666666666666,6.666666666666666e-07,0.9999971206098303,48
2,epanechnikov,2.5,0.004,1.0,1.0,0.9999973333640219,2.666635978143539e-06,0.9999978666788218,0.8583841855202301,0.8583860167332986,1.6e-05,0.16666666666666666,2.6666666666666664e-06,0.9999884918038272,48
2,epanechnikov,2.5,0.008,1.0,1.0,0.9999893338224061,1.0666177593932069e-05,0.9999914668605947,0.8583806538937397,0.8583879786380253,6.4e-05,0.16666666666666666,1.0666666666666666e-05,0.9999541494311316,48
2,uniform,0.5,0.002,1.0,1.0,0.9979148700438166,0.0020851299561833736,0.9979170424132082,0.3678794411700035,0.36864731789766886,0.002,1.0428108439143688,0.0020856216878287377,0.9997642277848213,48
2,uniform,0.5,0.004,1.0,1.0,0.9958307234774411,0.00416927652255894,0.9958394027820576,0.3678794411484213,0.369416434136552,0.004,1.0428108439143688,0.0041712433756574754,0.9995284731861934,48
2,uniform,0.5,0.008,1.0,1.0,0.9916653804465368,0.008334619553463152,0.991700016100604,0.36787944080310897,0.37095838946299775,0.008,1.0428108439143688,0.008342486751314951,0.9990569720892204,48
2,uniform,1.0,0.002,1.0,1.0,0.9999759222535128,2.40777464871611e-05,0.9999826262495832,0.6019069100072396,0.6019173675693553,2.4858432393688764e-05,0.9530835988402678,2.369216420730438e-05,1.016274675309647,48
2,uniform,1.0,0.004,1.0,1.0,0.9999142561911698,8.57438088301965e-05,0.9999378983444143,0.6019059494236558,0.601943331101086,8.834337468579593e-05,0.9530835988402678,8.41986214792326e-05,1.018351694170492,48
2,uniform,1.0,0.008,1.0,1.0,0.9996992694710076,0.00030073052899237673,0.9997811644780423,0.6019021068853432,0.6020338532778614,0.0003090120791873473,0.9530835988402678,0.0002945143445169908,1.0211065592936759,48
2,uniform,1.5,0.002,1.0,1.0,0.9999960102489429,3.989751057087432e-06,0.9999973384625813,0.7357583918365709,0.7357603500902739,4e-06,1.0,4e-06,0.9974377642718579,48
2,uniform,1.5,0.004,1.0,1.0,0.9999840818194299,1.5918180570118068e-05,0.9999893743190862,0.7357569203129202,0.7357647383142571,1.6e-05,1.0,1.6e-05,0.9948862856323792,48
2,uniform,1.5,0.008,1.0,1.0,0.9999366518237613,6.334817623865341e-05,0.9999576604497815,0.7357510341476938,0.7357821868345432,6.4e-05,1.0,6.4e-05,0.9898152537289595,48
2,uniform,2.5,0.002,1.0,1.0,0.99999888889392,1.1111060800317318e-06,0.9999991111131218,0.8583848722276184,0.858385635235346,4e-06,0.27777777777777773,1.1111111111111108e-06,0.9999954720285589,48
2,uniform,2.5,0.004,1.0,1.0,0.999995555635865,4.444364135047785e-06,0.9999964444765668,0.8583834007124698,0.8583864527256172,1.6e-05,0.27777777777777773,4.444444444444443e-06,0.9999819303857518,48
2,uniform,2.5,0.008,1.0,1.0,0.9999822235008298,1.7776499170230053e-05,0.9999857782899126,0.8583775146832692,0.8583897224530439,6.4e-05,0.27777777777777773,1.7777777777777773e-05,0.9999280783254407,48
3,epanechnikov,0.5,0.002,1.0,1.0,0.9979593720966449,0.00204062790335513,0.9979606543915062,0.3678791468673176,0.368630912700288,0.002,1.0208717644071377,0.0020417435288142753,0.9994535917741867,48
3,epanechnikov,0.5,0.004,1.0,1.0,0.9959209753941441,0.004079024605855852,0.9959260963166177,0.36787826394808204,0.36938309509978823,0.004,1.0208717644071377,0.004083487057628551,0.9989071958084544,48
3,epanechnikov,0.5,0.008,1.0,1.0,0.9918508754710789,0.008149124528921137,0.9918712930652881,0.36787473216822586,0.3708895849090888,0.008,1.0208717644071377,0.008166974115257101,0.9978144186470949,48
3,epanechnikov,1.0,0.002,1.0,1.0,0.9999785649233096,2.1435076690390353e-05,0.9999841279154196,0.6019067012642025,0.6019162549299111,2.4858432393688764e-05,0.8577752389562412,2.1322947786573945e-05,1.0052586023723704,48
3,epanechnikov,1.0,0.004,1.0,1.0,0.9999237703750457,7.622962495434926e-05,0.999943165709186,0.6019051144631318,0.6019393252577959,8.834337468579593e-05,0.8577752389562412,7.577875933130936e-05,1.005949762532647,48
3,epanechnikov,1.0,0.008,1.0,1.0,0.999733104398518,0.00026689560148196456,0.9997992773336758,0.6018987672292418,0.6020196062097797,0.0003090120791873473,0.8577752389562412,0.0002650629100652917,1.0069141752658695,48
3,epanechnikov,1.5,0.002,1.0,1.0,0.999996808307693,3.1916923070030023e-06,0.9999976041578985,0.735758293735947,0.735760056500867,4e-06,0.8,3.2e-06,0.9974038459384382,48
3,epanechnikov,1.5,0.004,1.0,1.0,0.9999872663271819,1.2733672818066033e-05,0.9999904332281582,0.7357565279171521,0.7357635667993252,1.6e-05,0.8,1.28e-05,0.9948181889114088,48
3,epanechnikov,1.5,0.008,1.0,1.0,0.9999493284830054,5.0671516994560406e-05,0.9999618652662053,0.7357494646722469,0.735777523352232,6.4e-05,0.8,5.12e-05,0.989678066300008,48
3,epanechnikov,2.5,0.002,1.0,1.0,0.9999992000033056,7.99996694444971e-07,0.9999992000014603,0.8583848722276906,0.8583855589348842,4e-06,0.2,8e-07,0.9999958680562138,48
3,epanechnikov,2.5,0.004,1.0,1.0,0.999996800052768,3.199947231968814e-06,0.9999968000233309,0.8583834007136256,0.8583861475292708,1.6e-05,0.2,3.2e-06,0.9999835099902543,48
3,epanechnikov,2.5,0.008,1.0,1.0,0.9999872008401401,1.2799159859855358e-05,0.9999872003721091,0.8583775147017639,0.8583885017551722,6.4e-05,0.2,1.28e-05,0.9999343640511998,48
3,uniform,0.5,0.002,1.0,1.0,0.9973550017510834,0.002644998248916619,0.9973571668606073,0.36787895066368964,0.3688537696296568,0.002,1.3234143643581016,0.002646828728716203,0.9993084252941171,48
