dimension,kernel_family,smoothness,bandwidth,lag,decay_true,pair_pseudo_decay,pair_shift_coefficient,information_weight,composite_pseudo_decay,composite_decay_shift,composite_shift_coefficient,asymptotic_scale,predicted_composite_shift,composite_shift_ratio,minimum_composite_kl,minimum_kl_coefficient,predicted_minimum_kl,minimum_kl_ratio,quadrature_order
2,epanechnikov,0.5,0.005,0.5,1.0,0.9919729127504763,1.6081845572857385,0.07871065509664114,0.9947044295320864,0.005295570467913624,1.061132553178594,0.005,0.00530566276589297,0.998097825205887,5.597184671024547e-07,0.02216705878388727,5.541764695971818e-07,1.010000420099578,96
2,epanechnikov,0.5,0.005,1.0,1.0,0.9959814561591779,0.8040922786428694,0.051378296933372404,0.9947044295320864,0.005295570467913624,1.061132553178594,0.005,0.00530566276589297,0.998097825205887,5.597184671024547e-07,0.02216705878388727,5.541764695971818e-07,1.010000420099578,96
2,epanechnikov,0.5,0.005,1.5,1.0,0.997319859642044,0.5360615190952461,0.03256105191348576,0.9947044295320864,0.005295570467913624,1.061132553178594,0.005,0.00530566276589297,0.998097825205887,5.597184671024547e-07,0.02216705878388727,5.541764695971818e-07,1.010000420099578,96
2,epanechnikov,0.5,0.005,2.0,1.0,0.9979894780603431,0.4020461393214346,0.01935355455526151,0.9947044295320864,0.005295570467913624,1.061132553178594,0.005,0.00530566276589297,0.998097825205887,5.597184671024547e-07,0.02216705878388727,5.541764695971818e-07,1.010000420099578,96
2,epanechnikov,0.5,0.01,0.5,1.0,0.9839734994148509,1.6081845572857385,0.07871065509664114,0.9894289431867216,0.010571056813278412,1.061132553178594,0.01,0.01061132553178594,0.9962051189187531,2.2612743534877744e-06,0.02216705878388727,2.2167058783887274e-06,1.020105723331885,96
2,epanechnikov,0.5,0.01,1.0,1.0,0.9919667462503124,0.8040922786428694,0.051378296933372404,0.9894289431867216,0.010571056813278412,1.061132553178594,0.01,0.01061132553178594,0.9962051189187531,2.2612743534877744e-06,0.02216705878388727,2.2167058783887274e-06,1.020105723331885,96
2,epanechnikov,0.5,0.01,1.5,1.0,0.9946400527418245,0.5360615190952461,0.03256105191348576,0.9894289431867216,0.010571056813278412,1.061132553178594,0.01,0.01061132553178594,0.9962051189187531,2.2612743534877744e-06,0.02216705878388727,2.2167058783887274e-06,1.020105723331885,96
2,epanechnikov,0.5,0.01,2.0,1.0,0.9959783728179656,0.4020461393214346,0.01935355455526151,0.9894289431867216,0.010571056813278412,1.061132553178594,0.01,0.01061132553178594,0.9962051189187531,2.2612743534877744e-06,0.02216705878388727,2.2167058783887274e-06,1.020105723331885,96
2,epanechnikov,0.5,0.02,0.5,1.0,0.9680577625624368,1.6081845572857385,0.07871065509664114,0.9789379261331789,0.02106207386682113,1.061132553178594,0.02,0.02122265106357188,0.9924336881254965,9.227096989139483e-06,0.02216705878388727,8.86682351355491e-06,1.040631628117309,96
2,epanechnikov,0.5,0.02,1.0,1.0,0.9839488259686349,0.8040922786428694,0.051378296933372404,0.9789379261331789,0.02106207386682113,1.061132553178594,0.02,0.02122265106357188,0.9924336881254965,9.227096989139483e-06,0.02216705878388727,8.86682351355491e-06,1.040631628117309,96
2,epanechnikov,0.5,0.02,1.5,1.0,0.9892814345116381,0.5360615190952461,0.03256105191348576,0.9789379261331789,0.02106207386682113,1.061132553178594,0.02,0.02122265106357188,0.9924336881254965,9.227096989139483e-06,0.02216705878388727,8.86682351355491e-06,1.040631628117309,96
2,epanechnikov,0.5,0.02,2.0,1.0,0.9919544080699134,0.4020461393214346,0.01935355455526151,0.9789379261331789,0.02106207386682113,1.061132553178594,0.02,0.02122265106357188,0.9924336881254965,9.227096989139483e-06,0.02216705878388727,8.86682351355491e-06,1.040631628117309,96
2,epanechnikov,1.0,0.005,0.5,1.0,0.9998126642614943,1.4334980067457765,0.2282457954138821,0.9998853184302869,0.00011468156971305987,0.8537958203972618,0.00013245793416370093,0.00011309203056742352,1.014055271071366,1.0950023110467555e-09,0.06923054480595785,1.2146571309527945e-09,0.9014908677873731,96
2,epanechnikov,1.0,0.005,1.0,1.0,0.9999193131006017,0.5718501593041607,0.14845048541115916,0.9998853184302869,0.00011468156971305987,0.8537958203972618,0.00013245793416370093,0.00011309203056742352,1.014055271071366,1.0950023110467555e-09,0.06923054480595785,1.2146571309527945e-09,0.9014908677873731,96
2,epanechnikov,1.0,0.005,1.5,1.0,0.9999495791910634,0.34596892244459604,0.09926728992630433,0.9998853184302869,0.00011468156971305987,0.8537958203972618,0.00013245793416370093,0.00011309203056742352,1.014055271071366,1.0950023110467555e-09,0.06923054480595785,1.2146571309527945e-09,0.9014908677873731,96
2,epanechnikov,1.0,0.005,2.0,1.0,0.9999635505864535,0.2456073859637817,0.06584968440464407,0.9998853184302869,0.00011468156971305987,0.8537958203972618,0.00013245793416370093,0.00011309203056742352,1.014055271071366,1.0950023110467555e-09,0.06923054480595785,1.2146571309527945e-09,0.9014908677873731,96
2,epanechnikov,1.0,0.01,0.5,1.0,0.9993499065835444,1.4334980067457765,0.2282457954138821,0.9996003816832388,0.00039961831676116333,0.8537958203972618,0.0004605170185988092,0.00039318750570147134,1.016355583446679,1.3040070745429233e-08,0.06923054480595785,1.4682131787763924e-08,0.8881592219664461,96
2,epanechnikov,1.0,0.01,1.0,1.0,0.9997168584301682,0.5718501593041607,0.14845048541115916,0.9996003816832388,0.00039961831676116333,0.8537958203972618,0.0004605170185988092,0.00039318750570147134,1.016355583446679,1.3040070745429233e-08,0.06923054480595785,1.4682131787763924e-08,0.8881592219664461,96
2,epanechnikov,1.0,0.01,1.5,1.0,0.9998222804204713,0.34596892244459604,0.09926728992630433,0.9996003816832388,0.00039961831676116333,0.8537958203972618,0.0004605170185988092,0.00039318750570147134,1.016355583446679,1.3040070745429233e-08,0.06923054480595785,1.4682131787763924e-08,0.8881592219664461,96
