aspect_ratio,angle_degrees,smoothness,bandwidth,decay_true,decay_pseudo,decay_shift,implied_range_ratio,variance_factor,smoothed_correlation,asymptotic_scale,leading_coefficient,directional_contrast_coefficient_to_minor,leading_shift,coefficient_ratio,directional_kernel_variance,kernel_total_variance,support_radius,quadrature_order
1.0,0.0,0.5,0.003,1.0,0.9975884135351953,0.0024115864648046603,1.002417416273169,0.9975913190672323,0.36876768486020206,0.003,0.8040922786428688,0.0,0.0024122768359286064,0.9997138093299809,0.2,0.4,1.4142135623730951,96
1.0,0.0,0.5,0.004053323392016948,1.0,0.996742014173239,0.0032579858267609563,1.0032686349932418,0.9967473156285844,0.3690799417217395,0.004053323392016948,0.8040922786428688,0.0,0.0032592460423633497,0.9996133413722028,0.2,0.4,1.4142135623730951,96
1.0,0.0,0.5,0.005476476840090589,1.0,0.9955987076538524,0.004401292346147612,1.0044207493564543,0.9956083790751307,0.36950215453862545,0.005476476840090589,0.8040922786428688,0.0,0.00440359274128334,0.9994776094723379,0.2,0.4,1.4142135623730951,96
1.0,0.0,0.5,0.007399310560592744,1.0,0.9940544705997637,0.0059455294002362935,1.005981090147554,0.9940721100448997,0.37007319425409413,0.007399310560592744,0.8040922786428688,0.0,0.005949728489053263,0.9992942385816941,0.2,0.4,1.4142135623730951,96
1.0,0.0,0.5,0.00999726619334953,1.0,0.9919689402911045,0.008031059708895505,1.0080960798092515,0.9920011023003354,0.3708457984818664,0.00999726619334953,0.8040922786428688,0.0,0.008038724553609744,0.9990465098457942,0.2,0.4,1.4142135623730951,96
1.0,0.0,0.5,0.013507384305907961,1.0,0.9891528076212684,0.010847192378731552,1.0109661442551197,0.9892114236375007,0.37189162134724374,0.013507384305907961,0.8040922786428688,0.0,0.010861183425042458,0.9987118303997475,0.2,0.4,1.4142135623730951,96
1.0,0.0,0.5,0.018249932257366448,1.0,0.9853509093354729,0.014649090664527131,1.0148668768920166,0.9854576764929424,0.37330820661516867,0.018249932257366448,0.8040922786428688,0.0,0.014674629613903782,0.9982596528806115,0.2,0.4,1.4142135623730951,96
1.0,0.0,0.5,0.02465762577383602,1.0,0.9802196141786343,0.019780385821365654,1.02017954500731,0.9804139334784361,0.3752286842627303,0.02465762577383602,0.8040922786428688,0.0,0.019827006494406937,0.9976486277414377,0.2,0.4,1.4142135623730951,96
1.0,0.0,0.5,0.033315110446896494,1.0,0.9732966929440529,0.026703307055947145,1.027435937314422,0.9736499778259209,0.37783537543681406,0.033315110446896494,0.8040922786428688,0.0,0.026788423072483844,0.9968226567011282,0.2,0.4,1.4142135623730951,96
1.0,0.0,0.5,0.04501230549401123,1.0,0.9639613952519602,0.03603860474803977,1.0373859419324776,0.9646027377039226,0.38137909625392197,0.04501230549401123,0.8040922786428688,0.0,0.036194047291648414,0.9957053008646394,0.2,0.4,1.4142135623730951,96
