grid_side,number_of_locations,spacing,smoothness,bandwidth,variance_true,decay_true,variance_pseudo,decay_pseudo,decay_shift,log_variance_shift,asymptotic_scale,decay_inflation_coefficient,log_variance_shift_coefficient,predicted_decay_shift,decay_shift_ratio,predicted_log_variance_shift,log_variance_shift_ratio,minimum_kl,minimum_kl_coefficient,predicted_minimum_kl,minimum_kl_ratio,information_condition_number,quadrature_order
3,9,1.0,0.5,0.005,1.0,1.0,0.9960472542428094,0.9958694185276159,0.004130581472384098,-0.003960578504085769,0.005,0.8262502112852393,-0.792645124415571,0.004131251056426197,0.999837922209773,-0.003963225622077855,0.9993320799155768,1.8633801571743547e-06,0.073713219393902,1.8428304848475503e-06,1.0111511462914096,5.002463196201011,96
3,9,1.0,0.5,0.01,1.0,1.0,0.9921153906941177,0.9917401982233868,0.00825980177661323,-0.007915857197826382,0.01,0.8262502112852393,-0.792645124415571,0.008262502112852394,0.9996731817792864,-0.00792645124415571,0.9986634565705378,7.536823635301282e-06,0.073713219393902,7.371321939390201e-06,1.0224521052359263,5.002463196201011,96
3,9,1.0,0.5,0.02,1.0,1.0,0.9843139272687448,0.9834857644146058,0.01651423558539422,-0.015810401032520165,0.02,0.8262502112852393,-0.792645124415571,0.016525004225704788,0.9993483426591918,-0.01585290248831142,0.9973190110881844,3.082722868652521e-05,0.073713219393902,2.9485287757560804e-05,1.0455122208743002,5.002463196201011,96
3,9,1.0,1.0,0.005,1.0,1.0,0.9999528392832967,0.9998970841792199,0.00010291582078014727,-4.716182880486348e-05,0.00013245793416370093,0.7370675344641832,-0.31600107501131014,9.763044295425814e-05,1.0541365752930716,-4.185684958950683e-05,1.1267410057704526,5.032764871515383e-09,0.2818680554814175,4.945404438718757e-09,1.017664972375699,7.329926493857029,96
3,9,1.0,1.0,0.01,1.0,1.0,0.9998332806711946,0.9996393656561258,0.0003606343438742332,-0.0001667332280175742,0.0004605170185988092,0.7370675344641832,-0.31600107501131014,0.00033943214347742067,1.062463737758009,-0.0001455238729382272,1.1457448503198513,6.106635597191712e-08,0.2818680554814175,5.977742843044593e-08,1.0215621109056392,7.329926493857029,96
3,9,1.0,1.0,0.02,1.0,1.0,0.9994209953261556,0.9987610659542986,0.001238934045701412,-0.0005791723617817761,0.0015648092021712584,0.7370675344641832,-0.31600107501131014,0.001153370060551235,1.0741860640194554,-0.0004944813900737082,1.1712723135959549,7.105639663329555e-07,0.2818680554814175,6.90189967632927e-07,1.02951940720017,7.329926493857029,96
3,9,1.0,1.5,0.005,1.0,1.0,0.9999959660384303,0.9999764315726742,2.35684273257597e-05,-4.033969706116472e-06,2.5e-05,0.9481731052977502,-0.16113927105699916,2.3704327632443757e-05,0.9942668567195277,-4.028481776424979e-06,1.001362282367419,5.320641704997797e-10,0.8633185332566278,5.395740832853923e-10,0.9860817763153379,13.33266024669001,96
3,9,1.0,1.5,0.01,1.0,1.0,0.9999838679550296,0.9999062474340217,9.375256597832227e-05,-1.613217509325521e-05,0.0001,0.9481731052977502,-0.16113927105699916,9.481731052977503e-05,0.9887705678899381,-1.6113927105699916e-05,1.001132435776555,8.396538575539125e-09,0.8633185332566278,8.633185332566278e-09,0.9725887088124393,13.33266024669001,96
3,9,1.0,1.5,0.02,1.0,1.0,0.9999354576912689,0.9996291421382656,0.00037085786173440827,-6.454439167553102e-05,0.0004,0.9481731052977502,-0.16113927105699916,0.0003792692421191001,0.9778221393918085,-6.445570842279966e-05,1.0013758789547333,1.3078209537553676e-07,0.8633185332566278,1.3813096532106044e-07,0.9467978093945657,13.33266024669001,96
3,9,1.0,2.5,0.005,1.0,1.0,1.0000016251998243,0.9999908687540869,9.131245913063246e-06,1.6251985036375343e-06,2.5e-05,0.3648414004947426,0.0640736483670712,9.121035012368565e-06,1.0011194892554227,1.6018412091767802e-06,1.0145815292595437,1.674624883207798e-10,0.2679656404988587,1.6747852531178668e-10,0.9999042444935731,29.118188118974444,96
3,9,1.0,2.5,0.01,1.0,1.0,1.0000063869390736,0.9999635280252798,3.647197472023134e-05,6.386918677213016e-06,0.0001,0.3648414004947426,0.0640736483670712,3.648414004947426e-05,0.9996665584216476,6.407364836707121e-06,0.9968089596869885,2.6791493468181216e-09,0.2679656404988587,2.679656404988587e-09,0.9998107749301286,29.118188118974444,96
3,9,1.0,2.5,0.02,1.0,1.0,1.0000256223701403,0.9998541151498362,0.00014588485016375774,2.562204189293587e-05,0.0004,0.3648414004947426,0.0640736483670712,0.00014593656019789704,0.9996456677198011,2.5629459346828483e-05,0.9997105887489769,4.284314414348955e-08,0.2679656404988587,4.287450247981739e-08,0.9992686017442979,29.118188118974444,96
