sigma_11,sigma_12,sigma_22,sigma_13,sigma_23,sigma_33,alpha_11,alpha_12,alpha_22,alpha_13,alpha_23,alpha_33,nu_11,nu_12,nu_22,nu_13,nu_23,nu_33,tau_11,tau_12,tau_22,tau_13,tau_23,tau_33
0.525435555455407,-0.0563505617790221,0.132800713916204,-0.103919733866917,0.0657851895825147,0.745008852054774,0.0981098154257416,0.0957231666683639,0.0935053841088608,0.0444949193932386,0.0442658381902752,0.0332171778566373,0.624403351751474,2.40683696352118,0.438533661935192,1.79277718055832,1.49311173272917,1.67886070760211,0.531006419501969,0.0,0.722478999779377,0.0,0.0,0.208040377658368
0.0050175615835885,0.0246559205323721,0.170301307670417,-0.0017551926161566,-0.0172294827370016,0.0171524500647737,0.283701805867532,0.284396669402231,0.285136552916481,0.397918890178201,0.39991398665103,2.22522553698266,1.37843077872737,1.37208472980176,1.36459451766337,1.1107605660252,1.10377529131712,0.841832229246553,0.965225323612479,0.0,0.989682333986286,0.0,0.0,0.965567827591229
0.0052053269302337,-5.86789192373147e-59,0.795152358859633,-1.23158913832165e-61,0.0532240690263383,0.0204022965442616,9.975756573227299e+48,0.608457019887402,0.430642848139001,0.0057508210293527,0.0057505646600368,0.0040664448834564,1.03060166574613,0.588180648205542,0.138865997641445,1.03388097185689,0.587970999436316,1.03024637369703,1.04282075165672,0.0,0.144053885164835,0.0,0.0,1.08077505993343
0.0276748519000468,0.0085522065406002,0.0155184521137788,-0.0046160046065024,-0.0072024338001778,0.0034593762652088,0.502037466418245,0.692712507298066,2.23819692705793,0.696734276576964,2.3857891602702,2.56925856128783,1.44002846427582,1.27419987376759,1.10650049109464,1.1528279353725,0.985949607327847,0.863495253288599,0.878713718156994,0.0,0.904679641510086,0.0,0.0,1.11963593853027
0.0031709454008516,1.29185995352967e-06,3.69882350563946e-06,-0.0078355107327315,-3.57207212079879e-06,0.0223571691879313,17.4071780688926,19.3315477109904,488.133911190038,17.726163635231,20.4159395176188,18.4644151258223,1.09312973237291,1.06519448389273,1.02821207623825,1.06940657621682,1.03704765059175,1.03690859586695,1.14948848481292,0.0,0.789020827735488,0.0,0.0,0.994688905076205
0.0659114989101339,0.0223848759845396,0.008073854850656,0.0144530491681057,0.0057292840332417,0.0243176725904483,0.562398564917953,0.635551373883455,0.747612113673737,0.794966030483162,1.05648428120608,34.646329818963,1.5962346427677,1.25866576559519,0.920865105566199,0.940095379274879,0.602382781064893,0.283505667909503,0.815224466679256,0.0,1.01167055148647,0.0,0.0,0.94539986020983
0.0362366420428372,0.0155892310965385,0.0166871640231404,0.0200168873877161,0.0450164663363055,0.191120310944713,0.544725267199509,0.417117688604166,0.350835457778488,0.166632084060355,0.161391319323692,0.120685753661976,1.56066859796835,1.11247139069162,0.664009336637365,1.45934141731319,1.01098422665671,1.35756875954718,0.919336612931121,0.0,0.866114948176792,0.0,0.0,0.883879478824837
0.377367248563111,-0.0427050355303345,0.525702763827457,-1.26039703924338e-27,-5.18610250912849e-27,0.0302208003109898,0.0456119880446223,0.0567670619355105,0.0845269561267618,0.0645044196794888,0.119534886731004,25915086169643.2,1.72177087258718,1.45439675641071,1.1831956745053,1.37911911228683,1.10953699297478,1.03060127205118,0.553115857316344,0.0,0.603148778995607,0.0,0.0,0.839403091418291
0.104440922799311,-0.0466460155165159,0.049085895273632,0.0553571100526058,0.0005267487187065,0.0705784988415443,0.299382515626191,0.297305960968564,0.295282307863679,0.320136568780491,0.3176056620628,0.34592041643268,1.57625046722218,1.30459463164558,0.907996563750866,1.651711854226,1.36874571220999,1.7250340891508,0.902377576716583,0.0,0.999893942629992,0.0,0.0,1.06490285185351
0.16623132360648,0.0572269123519553,0.141373904174105,-0.0819620272872198,-0.0350027761571506,0.0504905117787141,0.146447447404794,0.128775250072428,0.116270446118482,0.136496768623239,0.121855289917898,0.128337524861291,1.29943506396305,1.23016941036359,1.16037098727167,1.02292769683171,0.95360395127267,0.746350741715777,0.904221201070334,0.0,0.932992147161904,0.0,0.0,0.771367654072083
2.08405129068428e-05,-5.0792897426220894e-11,0.0206746424098307,-1.6970527112202298e-11,1.0796198643240901e-14,3.52292054482227e-06,1.72434141622067,2.40312205451423,50082.1120872537,2.4031205170706,14.1418217294228,1501.54605517141,1.03108160739415,1.03584193190643,1.03060225641871,1.03584163789051,1.03560196240279,1.03060166838687,1.00398751916521,0.0,0.930241232460818,0.0,0.0,0.838884399272254
0.395636300622837,0.0366880872928275,1.04643886952429,0.0489298248605817,-0.113639920762482,0.72929471357763,0.0471819210903617,0.0253024004141044,0.0193356389088517,0.0056366060491097,0.005539533774154,0.003999980137237,1.00527133592349,1.33811747315271,1.66840300984229,1.04647172534054,1.37798017271788,1.08474829831126,0.548285625248926,0.0,0.0223545078765144,0.0,0.0,0.187513379743559
0.105019182758404,-0.0068113265407607,1.0579588245507,-2.0335367737871602e-20,-8.289008794401521e-20,5.98193509362328e-06,0.0537419395121701,0.0232649997878907,0.0172803773768222,0.076001482206779,0.024438107562094,29672311.4225118,1.2514208345799,1.51044289138179,1.75933912852839,1.14605147976642,1.40001819569722,1.0306016511443,0.840577126825627,0.0,0.0189828216193039,0.0,0.0,0.895977705463236
0.0081449912544082,-1.18518534609856e-29,1.84502152957041e-06,0.0103774823205985,-5.14988350034988e-24,0.0167972645390895,21.4196028600518,21.6658315580253,45835443497206.8,19.9343115573438,20.7784642817238,19.1282939582007,1.06739006286926,1.05350615204255,1.03060165160876,1.07800977352151,1.05963275317073,1.07965584354585,1.09301671477148,0.0,1.12458191412985,0.0,0.0,1.06094776343016
0.0136608543776642,0.0066987209418028,0.154840565519081,-0.0275094068917662,-0.0793253480807241,0.539574656171332,3.86633479738815,0.117876229269665,0.0833732356100862,0.0686786911331706,0.0593487471525888,0.0485675426444312,0.300892757159037,0.954727152964792,1.60809364538612,1.03439876786066,1.68801331085811,1.76745501276339,0.877816611165236,0.0,0.823898082334379,0.0,0.0,0.572059619600512
0.0007785093994634,0.0126217336224922,0.984945271224577,0.000753782677349,0.0496303763762875,0.357500957101327,0.0826420680876908,0.0340462687562062,0.0251658903995335,0.0061690528621422,0.0060866509535243,0.0043682691014087,1.09856546035716,1.49135681041892,1.87541622187302,1.07919450505255,1.46761251984406,1.0514905941271,1.14419437394611,0.0,0.0120282650752158,0.0,0.0,0.778140767650808
0.966901682385503,0.146327524265048,0.21648934495716,-0.0260485571464789,0.0606753186192985,0.0504707493711494,0.0280139200588379,0.039272923018122,0.21099710522628,0.0382367327953706,0.131214225363099,0.103310263457501,1.94073727560449,1.09245321781985,0.244117530703778,1.5913403116903,0.74300208979005,1.24153318849679,0.0066124718771186,0.0,0.694331043247099,0.0,0.0,1.15498706727849
3.84026966337742e-06,8.56111337384923e-09,0.254539721728086,-1.94511137720053e-10,0.0876788179863565,0.0357165086179393,424.730803931571,0.101435268029526,0.0717274100467447,0.0826830559802149,0.0640895240449536,0.0584667484025014,1.03060224759127,1.09473646498459,1.15211242494369,0.990889076933817,1.05148773389117,0.944339484111057,1.11186010570168,0.0,0.729565688509532,0.0,0.0,0.746681891063445
