l,feature_index,min_loss,best_params,optimized_params,loss_history
2,0,2594.2921480016657,"{'alpha': 0.0869968561314576, 'nu': 1.0596705110723106, 'sigma': 1.0}","{'alpha': 0.0826428742993967, 'nu': 1.0790642633484566, 'sigma': 1.0}","[2594.6446025569376, 2594.510234704464, 2594.419950435821, 2594.348704538996, 2594.352087781596, 2594.3298014171637, 2594.2921480016657, 2594.301455108088, 2594.3340921259137, 2594.326895251381, 2594.4275641493587, 2594.515953971295]"
2,1,3003.131221961949,"{'alpha': 0.0284185574209425, 'nu': 1.2304235095722544, 'sigma': 1.0}","{'alpha': 0.0265407741013115, 'nu': 1.2317235368299886, 'sigma': 1.0}","[3305.1776419865128, 3300.01256478513, 3295.6705098982848, 3291.6783200442464, 3287.85194826164, 3284.6489091827893, 3281.608240891904, 3278.6314607638737, 3275.6708905716664, 3272.742087198548, 3269.965006525211, 3267.1987147394107, 3264.801301766854, 3262.223046067636, 3260.010133619748, 3257.7674844506, 3255.5907598663557, 3253.505319535873, 3251.418461331928, 3249.3685786960737, 3247.341028257459, 3245.1826703666, 3243.212753990526, 3241.511428225411, 3239.901103605669, 3238.3552830132794, 3236.8315709615163, 3235.280017045998, 3233.7211940860025, 3232.1724958913787, 3230.6549502838643, 3229.104857763181, 3227.548068007397, 3226.033675510134, 3224.492959080042, 3223.020358780635, 3221.4757968700224, 3219.878188211799, 3218.332464637756, 3216.6799447564217, 3215.0742534417745, 3213.351844003159, 3211.7307051291, 3210.0741639541798, 3208.3613742905623, 3206.6776877991806, 3205.105799171408, 3203.533627396533, 3201.8241652734714, 3200.294477044964, 3198.607972241788, 3196.909487357761, 3195.286996808668, 3193.604098787778, 3191.79587261682, 3189.934904791086, 3188.04807710774, 3186.138948853873, 3184.2032492402277, 3182.1864725511305, 3180.046665296435, 3177.88475092197, 3175.575138436512, 3173.2711169997992, 3170.8752099759186, 3168.362392608676, 3165.8388736612087, 3163.1825842846806, 3160.415099826304, 3157.576154422544, 3155.147240749944, 3153.3485549713478, 3151.5668976095285, 3149.7169034299727, 3147.928127597267, 3146.035634435108, 3144.116943260358, 3142.1136537797265, 3140.0879568192763, 3137.9242913641265, 3135.810242030816, 3133.5197227689587, 3131.068674819656, 3128.5352800688843, 3125.957095420138, 3123.277786133406, 3120.6578686983303, 3117.9684921353423, 3115.3155079844373, 3112.546859403428, 3109.800637329342, 3107.011314461368, 3104.8296792868377, 3102.978417987601, 3101.257530495364, 3099.633574209615, 3098.041859705493, 3096.532135661029, 3094.9897358209064, 3093.462525165788, 3091.933068175816, 3090.39190612319, 3088.8596535672878, 3087.28161019264, 3085.715247286173, 3084.10568605284, 3082.4828769622045, 3080.838698626369, 3079.1844910222358, 3077.493570161905, 3075.771118732492, 3074.025198152009, 3072.2575688686547, 3070.455041279737, 3068.592303920867, 3066.6644796859564, 3064.7474398789363, 3062.7782244266323, 3060.754569747968, 3058.6983394792665, 3056.612084310296, 3054.4944800690487, 3052.3126296487767, 3050.0826420300505, 3047.843523192934, 3045.57448081452, 3043.2554753601603, 3040.928305517131, 3038.562226329077, 3036.188924025073, 3033.7695329546573, 3031.40831888866, 3028.9870409353643, 3026.580025646256, 3024.1714119088174, 3021.8236703600924, 3019.555936912463, 3017.474322329105, 3015.463474233477, 3013.5261584307245, 3011.708822926172, 3009.9873183719246, 3008.4045003987057, 3006.952656851339, 3005.6822129366965, 3004.624359187691, 3003.8132710139184, 3003.2958093410803, 3003.131221961949, 3003.38177502747, 3004.122896912394, 3005.439101035124, 3007.452120198627, 3010.2897262290594]"
1,2,2713.9303793562067,"{'alpha': 0.0219746498799788, 'nu': 1.581688102448327, 'sigma': 1.0}","{'alpha': 0.0192836969106025, 'nu': 1.5842564504007388, 'sigma': 1.0}","[3108.253269212099, 3103.440393667338, 3096.739095717724, 3089.23511473092, 3082.652293909054, 3077.1880861093737, 3071.5057573843646, 3065.667143894044, 3059.6331765452587, 3054.1967020784023, 3049.8135505231944, 3044.5778859903444, 3039.4501729848243, 3035.322164880108, 3030.8993621393224, 3026.6979543942, 3022.279977687602, 3018.3864258937338, 3014.7108506913146, 3011.499762012811, 3008.421426263616, 3004.942357544711, 3001.9032051962804, 2998.756410543475, 2996.162933577245, 2993.382716445123, 2991.182637816625, 2989.203246305252, 2987.3137171957933, 2985.3904819136533, 2983.749646406567, 2982.1209115156694, 2980.5497197565883, 2979.0348435621654, 2977.7058601291737, 2976.406474265439, 2975.176610791228, 2973.956553581314, 2972.744628232605, 2971.544755807681, 2970.5506137728776, 2969.632778936841, 2968.8725071598105, 2968.32735771558, 2968.037249032276, 2967.956026834252, 2967.841913011837, 2967.8150897570717, 2967.6599373343806, 2967.52196425217, 2967.4701385982426, 2967.4113391952583, 2967.4009476221136, 2967.258910618856, 2967.153130011621, 2967.035260149435, 2966.871313796837, 2966.816389418045, 2966.7487478587173, 2966.68056589276, 2966.6176128580355, 2966.4602499687844, 2966.3039321285505, 2966.113276563192, 2965.952225363278, 2965.764251781888, 2965.6033763088326, 2965.277010006992, 2965.060153274332, 2964.8039950329103, 2964.605376922766, 2964.301982730759, 2963.954805684662, 2963.5896610081154, 2963.28292964718, 2962.95599830254, 2962.540319405048, 2962.1721385717046, 2961.7084431726357, 2961.2901513541105, 2960.743966799664, 2960.222564989332, 2959.66479479386, 2959.041307329403, 2958.3599945161477, 2957.586730646872, 2956.8974190219824, 2956.0881793846947, 2955.213162485299, 2954.1807529787675, 2953.206760373276, 2951.966902215551, 2950.78400055188, 2949.573273513382, 2948.2825660558, 2946.8815343760307, 2945.4812002988383, 2943.919657084698, 2942.22304751506, 2940.455127591509, 2938.5312402740674, 2936.4548668287352, 2934.1399458028595, 2931.702889955175, 2929.070207861815, 2926.275051497599, 2923.2006019905466, 2919.9495039770763, 2916.5176398803505, 2912.7996363562665, 2908.8229601852854, 2904.6380464798, 2900.248000017682, 2897.3249708208814, 2894.378893287454, 2891.2860034559703, 2888.110720185703, 2884.811676328653, 2881.2434227241365, 2877.4734761604404, 2873.48447426011, 2869.2435515097886, 2864.644442217936, 2859.605304023833, 2854.197017512356, 2848.2956695440485, 2841.9899866298247, 2835.1196767215733, 2828.43307428716, 2823.562911568047, 2818.784685416542, 2814.012498705209, 2809.2387541917724, 2804.4611818809035, 2799.6576551958883, 2794.7593164314094, 2789.4658688141976, 2784.2889603282865, 2779.2434976734703, 2774.265167166233, 2769.3602438110456, 2764.515351672449, 2759.753812285093, 2755.0781668585423, 2750.588482383592, 2746.9541745859265, 2743.820089054825, 2741.2828023162847, 2739.6120295533906, 2739.1307354851497, 2740.1745742399407, 2739.835024101857, 2723.251989545432, 2713.9303793562067, 2716.1453822071467, 2731.261830405905, 2752.375482959274, 2761.306160498294, 2764.3631436051905]"
2,3,2789.8024878628958,"{'alpha': 0.0756848129366347, 'nu': 1.1347447415585787, 'sigma': 1.0}","{'alpha': 0.0725152133447193, 'nu': 1.147809407221565, 'sigma': 1.0}","[2884.442595588432, 2864.1650959443214, 2850.385493405928, 2839.7863160155275, 2831.7829862998383, 2825.0589222233307, 2819.19628861848, 2814.188139204907, 2810.157057528115, 2806.9391999115924, 2803.998257792189, 2801.561651948443, 2799.5790376438044, 2797.808914976052, 2796.1348573647674, 2794.7117423793707, 2793.5426073267954, 2792.6149003718074, 2791.830452348351, 2791.263788927656, 2790.788513026768, 2790.3769906312564, 2790.0941624432107, 2789.898206625414, 2789.8225021459302, 2789.8024878628958, 2789.8648970391373, 2790.0016596283485, 2790.212360951471, 2790.478096214334, 2790.7934859386637]"
3,4,3278.861935841001,"{'alpha': 0.1085714409509151, 'nu': 2.829499373370715, 'sigma': 1.0}","{'alpha': 0.1090139822329975, 'nu': 2.845852077246793, 'sigma': 1.0}","[3677.749266936878, 3677.00287655232, 3674.666942722797, 3672.5470176235785, 3670.3260343082698, 3668.055228872042, 3664.654548249332, 3659.601947681656, 3654.8599450260513, 3649.383603730675, 3645.4799124333344, 3639.202800273927, 3632.785585937883, 3626.322749779538, 3619.466051494911, 3613.097731868149, 3607.536436778541, 3601.551311341193, 3597.6121868366845, 3593.794757519928, 3588.7112893951767, 3584.6801459494354, 3580.196032726569, 3577.530879844537, 3573.279388694217, 3570.102408254689, 3566.334099861618, 3563.476561755496, 3560.613393859902, 3557.878771649731, 3554.9596002135686, 3551.4360604109734, 3549.115270559928, 3546.3792455652, 3544.3963969773204, 3542.6321264942344, 3541.2382049961016, 3539.067473138168, 3537.6860668028894, 3535.207391872099, 3533.6397879732226, 3531.946394754971, 3530.3169214034688, 3528.537746254652, 3526.6032707219806, 3524.421601726707, 3521.982750576229, 3519.458296266158, 3516.9031991510083, 3515.4234500206967, 3513.25264677369, 3511.2849785229578, 3508.726805143441, 3507.134241626134, 3504.227302959939, 3501.4929920039585, 3499.54558320758, 3496.559647926214, 3494.1724983254408, 3492.110934131193, 3490.0099225616186, 3487.544451458244, 3485.3725133683283, 3483.1164230218765, 3481.040491387231, 3479.388501086342, 3477.1397222507867, 3474.915651773803, 3473.009498829547, 3470.572413794755, 3468.567981822539, 3466.6465328486547, 3464.85465148607, 3463.1563555429984, 3461.2961950315994, 3459.373508021292, 3457.310597744854, 3455.285484004816, 3453.5196379902554, 3451.494607123638, 3449.3453156015107, 3447.206387981591, 3445.468985773419, 3443.331831574685, 3441.261891957073, 3439.222035135339, 3437.444286683568, 3435.410433120667, 3433.7361460551733, 3431.8525195686325, 3430.023587313628, 3428.413591375935, 3426.475874467924, 3424.8929674005435, 3422.948397751069, 3421.222749273149, 3419.3215677082503, 3417.652411609964, 3415.791227680171, 3413.965329223376, 3412.2568408887582, 3410.703936933669, 3408.8602479508554, 3407.2888786821586, 3405.7455741560343, 3404.30397175762, 3402.439930830845, 3400.6846245588386, 3398.8899275533167, 3397.1698324844974, 3395.4434547712617, 3393.6570662726126, 3391.8861213706145, 3390.4714093880134, 3388.9306404526837, 3387.3785544121865, 3385.6918412903824, 3384.1875965599584, 3382.521560911108, 3380.799288794131, 3379.2747890089204, 3377.575258506486, 3375.8689861655625, 3374.306264683669, 3372.7225588548954, 3371.1872549842683, 3369.520726545291, 3367.887455630843, 3366.5058937563613, 3365.073182661284, 3363.5447708406277, 3362.1289425227715, 3360.697821077358, 3359.2239825226416, 3357.6444589854977, 3356.232226680621, 3354.8036465096, 3353.4709700149456, 3351.994240438804, 3350.636052266382, 3349.1902088934576, 3347.795390496185, 3346.3895814022244, 3345.079594117655, 3343.767940723914, 3342.5120612753435, 3341.1905728788697, 3339.9377798623145, 3338.6579435889653, 3337.4527110939352, 3336.174879250944, 3334.9626497535305, 3333.654732184464, 3332.473229025064, 3331.2956217013, 3330.209187335998, 3329.1725391348564, 3328.0450870073983, 3327.0182949731875, 3325.975249735492, 3324.8932188452827, 3323.841326375432, 3322.8223802505727, 3321.7502601453507, 3320.7371913041625, 3319.772422393525, 3318.745005922603, 3317.7186200060896, 3316.742955434239, 3315.8566529747977, 3314.929205853989, 3314.0104104536717, 3313.149623887852, 3312.2735116757813, 3311.4221458787897, 3310.550391186741, 3309.6970043339816, 3308.8903921339943, 3308.0902653779976, 3307.3218710481733, 3306.5604712979352, 3305.7665592421663, 3304.980543360691, 3304.2467080749816, 3303.551132948417, 3302.840723431528, 3302.1598462603147, 3301.500286548997, 3300.851989040924, 3300.2063040235653, 3299.563894674612, 3298.9357853274832, 3298.3273920930205, 3297.7289327800213, 3297.117663794392, 3296.558129693448, 3296.019847957325, 3295.4792200569, 3294.935822870648, 3294.396153503062, 3293.890220021214, 3293.422904713706, 3292.941297616271, 3292.4829329821587, 3292.0265134202, 3291.572720545588, 3291.134741052949, 3290.72052128973, 3290.2935772526957, 3289.8843296387918, 3289.5016301419737, 3289.126397336914, 3288.7522917346723, 3288.3906282896464, 3288.0432887591505, 3287.6988148708897, 3287.348738911607, 3287.0168818576485, 3286.695748038146, 3286.3822423625543, 3286.0776943007204, 3285.7918334017904, 3285.5002854071035, 3285.2204468518294, 3284.9417298709377, 3284.680086594478, 3284.426472162545, 3284.183426203143, 3283.946731476847, 3283.7090982241957, 3283.483797758517, 3283.264218619713, 3283.051164103338, 3282.8459888836533, 3282.647946047121, 3282.457827880283, 3282.275768647867, 3282.096652682292, 3281.9232330330924, 3281.757339737684, 3281.595267272771, 3281.4415048105266, 3281.292894304613, 3281.148874854192, 3281.0105110359154, 3280.87783277656, 3280.750382781821, 3280.6276830482616, 3280.510556404999, 3280.3983500104323, 3280.289756749776, 3280.185654921137, 3280.083854674992, 3279.9860626451746, 3279.8904967672697, 3279.800707903317, 3279.717550540988, 3279.6368473758343, 3279.5640608368462, 3279.4952395289697, 3279.432877216791, 3279.3719380824614, 3279.3148981685063, 3279.260510930645, 3279.2112706593543, 3279.163030270178, 3279.1268680494622, 3279.0868873036025, 3279.0476111345747, 3279.016435334265, 3278.989526435097, 3278.9600579080425, 3278.936997957273, 3278.917708402212, 3278.9008939093387, 3278.887605736625, 3278.8784610153825, 3278.861935841001, 3278.864732989268, 3278.86413606881, 3278.863182302061, 3278.865839911529, 3278.8660864078697]"
0,5,3202.501247553001,"{'alpha': 0.0666866089408232, 'nu': 1.6780672082732708, 'sigma': 1.0}","{'alpha': 0.0645121019972292, 'nu': 1.7132277406178729, 'sigma': 1.0}","[3292.7826892921366, 3293.8695009775797, 3294.43303740388, 3292.991549735775, 3288.851525939276, 3284.0805045678608, 3278.567133788733, 3271.257006355656, 3263.473218883544, 3256.30534417989, 3249.491757185969, 3243.706056142577, 3238.3842322707324, 3234.426091033174, 3230.3200795652738, 3227.018781763836, 3223.981699475932, 3221.326663647288, 3219.118869214741, 3217.087505040391, 3215.231860116001, 3213.5924547516, 3212.159530952231, 3210.8898328117853, 3209.800995557699, 3208.8325099879594, 3207.926826215431, 3207.106340519613, 3206.393363018552, 3205.731775663, 3205.145809609471, 3204.6410334498555, 3204.199693358797, 3203.8274892059326, 3203.49645071484, 3203.211967083557, 3202.9785234714145, 3202.791459824716, 3202.651928858406, 3202.5561120222856, 3202.505490370021, 3202.501247553001, 3202.547270477634, 3202.6416850807127, 3202.780246741205, 3202.971129920224, 3203.2134808993587]"
0,6,3574.6415691020184,"{'alpha': 0.0708434685139331, 'nu': 1.6958654380387512, 'sigma': 1.0}","{'alpha': 0.0699100491751199, 'nu': 1.7161993382855054, 'sigma': 1.0}","[3780.6481401103256, 3775.485000178756, 3766.972123681214, 3756.979714597959, 3748.0581490399295, 3738.965501225961, 3730.699678535145, 3721.563083333103, 3711.390731802008, 3703.398055966856, 3695.533599758886, 3685.97239412047, 3677.5156725668585, 3671.005534213128, 3666.31260409026, 3659.2781967059, 3654.078101345658, 3647.853739426302, 3643.43008997768, 3638.6042264146863, 3633.975787724967, 3629.402984400405, 3625.046253875869, 3620.115985972701, 3616.1672299169513, 3612.958646136096, 3609.662806045908, 3606.4516231375846, 3603.323037314328, 3600.7039850315286, 3598.271112023618, 3595.959297382249, 3593.9781861850583, 3591.941118045038, 3589.9904086782144, 3588.2582911495056, 3586.5583648540664, 3584.962809252441, 3583.5987574127967, 3582.236209799159, 3580.877129696232, 3579.716616458648, 3578.663691587416, 3577.817973343869, 3577.115998404156, 3576.5497022686577, 3576.0806515052554, 3575.69440710912, 3575.38037107335, 3575.135305066451, 3574.953811754898, 3574.8335136296737, 3574.76516448076, 3574.733074774391, 3574.6909379277167, 3574.66806517627, 3574.652221654362, 3574.6415691020184, 3574.658180544496, 3574.6633819723097, 3574.6930713522397, 3574.7492328837884, 3574.783469643055]"
6,7,3435.914674175704,"{'alpha': 0.1161314395423852, 'nu': 2.838663210756132, 'sigma': 1.0}","{'alpha': 0.1162784408721433, 'nu': 2.8508274818194823, 'sigma': 1.0}","[4097.20213478167, 4073.891133819469, 4028.8517868984745, 3978.209548742781, 3927.910297149738, 3883.1789619241113, 3846.732134943857, 3818.621103956488, 3792.957109043113, 3771.421385850832, 3754.215870160575, 3739.426941061639, 3725.95903835084, 3713.674733385981, 3702.6564013385455, 3692.126844610443, 3682.504141261605, 3673.751089289815, 3665.4788860827753, 3658.707014653685, 3652.165801148682, 3645.977198822924, 3640.1981586207376, 3634.550898912713, 3629.612983794891, 3624.855675023709, 3620.248975601005, 3615.936068938424, 3611.802766050893, 3607.7865492759342, 3604.0267377095815, 3600.474045262462, 3597.1287912319817, 3593.801027640693, 3590.6086691811256, 3587.7096703367206, 3584.844785160954, 3581.9752888921416, 3579.173627001731, 3576.5348287309725, 3573.9235935871416, 3571.5059185172267, 3569.099263365383, 3566.745345002787, 3564.380611571932, 3562.1049646350257, 3559.9203574660187, 3557.70263100021, 3555.558492747233, 3553.4596306006792, 3551.4950867555176, 3549.574246640625, 3547.704663675998, 3545.820749561499, 3544.009880214101, 3542.2325248840443, 3540.4317842897044, 3538.791224294212, 3537.0811732234706, 3535.4339517765466, 3533.908980214918, 3532.369698906309, 3530.8046762717718, 3529.2796231028365, 3527.8322143681557, 3526.3571731937136, 3524.8733315583618, 3523.4973232687385, 3522.160040360466, 3520.816912240023, 3519.505602177599, 3518.227418836709, 3516.948587181416, 3515.6884918373416, 3514.453851274143, 3513.2477093961725, 3512.0474855401035, 3510.8403452952207, 3509.6102441151484, 3508.4751593009214, 3507.377103084311, 3506.255943134547, 3505.182917709808, 3504.122042704977, 3503.0749646629574, 3502.0326798891574, 3500.980067126812, 3500.009730667571, 3499.0089556182666, 3498.0303360203025, 3497.0903957467794, 3496.1629954370383, 3495.2289184029805, 3494.322670575428, 3493.4311428087367, 3492.5606998531885, 3491.683678028491, 3490.825860327121, 3489.978613936169, 3489.1405514888684, 3488.3337417941493, 3487.529432799088, 3486.7123657882867, 3485.928741286401, 3485.177563651425, 3484.413089958739, 3483.659096049916, 3482.9221167550995, 3482.219066768421, 3481.493300576689, 3480.779992654921, 3480.0771038546886, 3479.400179663897, 3478.731114507546, 3478.0667351273014, 3477.4115758877806, 3476.768792093135, 3476.141306650175, 3475.511705686805, 3474.886596129665, 3474.261577199366, 3473.660088295352, 3473.085089134166, 3472.5006001155043, 3471.9322949004845, 3471.3744545839863, 3470.8099750705514, 3470.2561953931554, 3469.710805396403, 3469.1742921129267, 3468.646769026121, 3468.13406941878, 3467.630520497189, 3467.1395505681635, 3466.6517526099524, 3466.16353395721, 3465.672936694003, 3465.2067463241315, 3464.7423847339933, 3464.280043993217, 3463.8238958016445, 3463.379344289648, 3462.936575714125, 3462.5060917624733, 3462.0778757250573, 3461.657429435035, 3461.240292174193, 3460.8374630292205, 3460.4377835048267, 3460.0404500827008, 3459.650540881901, 3459.2669351600307, 3458.8841593754223, 3458.5067928246926, 3458.134220787649, 3457.7709007706576, 3457.415034454513, 3457.0604469819064, 3456.7053791281223, 3456.360962166742, 3456.017392414088, 3455.67862852908, 3455.345487450506, 3455.013304466186, 3454.686989809168, 3454.3649435915468, 3454.047421047213, 3453.731168720571, 3453.4199847482723, 3453.1110353982576, 3452.8055066329835, 3452.5009179513545, 3452.198181315014, 3451.897259239687, 3451.598907809788, 3451.3012021708614, 3451.0039277248884, 3450.706517605161, 3450.408693412156, 3450.113088317901, 3449.8255753215644, 3449.54614635166, 3449.274542917876, 3449.0147201034006, 3448.7653988115558, 3448.5257962069145, 3448.2951749760696, 3448.072147857328, 3447.8561414709147, 3447.645581172116, 3447.4416670876203, 3447.242431124798, 3447.0484460164253, 3446.8584329298483, 3446.673416713277, 3446.491549039556, 3446.313589227343, 3446.139658326408, 3445.968830102036, 3445.8007228706683, 3445.636431127262, 3445.4735498939835, 3445.3158632002687, 3445.159423988772, 3445.005894272524, 3444.8558361411697, 3444.7054600761185, 3444.5580165680976, 3444.413060388883, 3444.2706617765043, 3444.1308222722737, 3443.9911603609844, 3443.853765691157, 3443.7187372155204, 3443.585399241788, 3443.451804280685, 3443.3221323710604, 3443.1938400353865, 3443.068214273301, 3442.9434630050664, 3442.8207605166185, 3442.696628469099, 3442.577934008869, 3442.4605727754874, 3442.34403583232, 3442.2290454066897, 3442.1136839176525, 3442.0007988600946, 3441.8890296961777, 3441.779494607877, 3441.6728365523104, 3441.567572784603, 3441.463304359489, 3441.359589413024, 3441.2558580266923, 3441.156912732792, 3441.0593959881044, 3440.960768029622, 3440.865335559705, 3440.7696595516327, 3440.675752830273, 3440.5827529708367, 3440.490314486888, 3440.398623152473, 3440.3073376792054, 3440.22043032024, 3440.132695536465, 3440.0463636879485, 3439.961312293796, 3439.876698534153, 3439.7930816660382, 3439.708889944063, 3439.626069542016, 3439.545366100496, 3439.4683155046027, 3439.390788625259, 3439.313551808249, 3439.24072185, 3439.1655628694543, 3439.092308804225, 3439.02041819399, 3438.949424629953, 3438.8790299338543, 3438.8118341305017, 3438.7419810555266, 3438.674593995332, 3438.6092094382893, 3438.547353289149, 3438.483995448568, 3438.420945910117, 3438.357269566055, 3438.295960522397, 3438.237117105553, 3438.1771408804243, 3438.121146839552, 3438.064279272493, 3438.011733585051, 3437.95598527905, 3437.902880853395, 3437.849197273783, 3437.795834599065, 3437.742158259427, 3437.692633638606, 3437.6404964771677, 3437.5903988820955, 3437.541872101781, 3437.494302623076, 3437.446665856572, 3437.402913464949, 3437.357158972874, 3437.315357276037, 3437.2716810956254, 3437.230698308483, 3437.1876184277667, 3437.1443537470286, 3437.1050446851687, 3437.062226270352, 3437.027010800758, 3436.986612286981, 3436.953685439241, 3436.912760931707, 3436.878612376928, 3436.844746142846, 3436.8095596514013, 3436.773899472133, 3436.740159655663, 3436.7098652983286, 3436.678772372571, 3436.647436817053, 3436.616117465687, 3436.5873012359625, 3436.555296155231, 3436.527359641831, 3436.4956723813957, 3436.4705214699643, 3436.4415114750727, 3436.415655674432, 3436.392892198514, 3436.3719548387207, 3436.3452209850984, 3436.3230828972883, 3436.3021680708644, 3436.28258009068, 3436.2617369535533, 3436.2398404597016, 3436.2233195606727, 3436.203181741393, 3436.1801313014, 3436.1602052866965, 3436.1423602676496, 3436.127266187339, 3436.112980958019, 3436.096636635737, 3436.08333277216, 3436.073270228365, 3436.059907195916, 3436.050117928203, 3436.036067139129, 3436.020354261839, 3436.009035735081, 3435.9975860057966, 3435.985839699096, 3435.975836597896, 3435.967489670653, 3435.957415637128, 3435.9490503870998, 3435.941182876204, 3435.9364775715417, 3435.9303895732965, 3435.9226520592374, 3435.9212741676183, 3435.918105227349, 3435.9155455808573, 3435.9173382205686, 3435.916875619016, 3435.915306451468, 3435.914674175704, 3435.9174331255635, 3435.918899809415, 3435.918394924885, 3435.9177774557647, 3435.919548233598]"
2,8,3612.991995516732,"{'alpha': 0.0719816743597522, 'nu': 1.2789143223487829, 'sigma': 1.0}","{'alpha': 0.0706848327693179, 'nu': 1.2837573916539788, 'sigma': 1.0}","[3781.9902531578864, 3783.3628994494575, 3783.1446696352095, 3781.9024559918544, 3777.77024684931, 3776.475714635853, 3774.442276484243, 3775.0265721621786, 3774.810286174205, 3773.3509083998815, 3771.346003995727, 3770.908952578887, 3770.557497011643, 3769.488717839904, 3769.001827439373, 3768.598679508521, 3767.633526331667, 3767.4268907942337, 3767.631218513829, 3767.4558901051487, 3767.544068050889, 3766.631912951792, 3765.867523256351, 3764.420459392809, 3763.8695037690313, 3764.0242731869366, 3762.7849003446886, 3762.832319062589, 3761.098284088728, 3759.981036268628, 3758.6970198878826, 3757.694823241103, 3756.70921379746, 3755.3851875921114, 3754.291924835337, 3753.693310307274, 3753.524580734343, 3752.532381933599, 3751.7307870926415, 3750.347291895572, 3748.468459424266, 3746.9245680313297, 3746.304714807234, 3744.466117881111, 3743.203695957404, 3741.501852824072, 3739.639581736916, 3738.043116236329, 3736.767606874706, 3734.760396043247, 3733.336604769379, 3731.2648328064975, 3729.158427877997, 3727.364953043023, 3725.414435049936, 3723.286501588392, 3721.6604717450778, 3719.423230446414, 3717.8035236356577, 3715.5711477455834, 3713.259990229704, 3710.7123302464142, 3708.805280419705, 3706.656157046037, 3704.779704759041, 3702.279974041863, 3700.026126437954, 3697.6914272809063, 3695.340974004999, 3692.6430567418743, 3690.143023634791, 3687.590700409238, 3685.491268135585, 3683.3040417017446, 3681.225013690261, 3678.970993781527, 3676.389973605576, 3673.8358604098366, 3671.358078463326, 3669.2868287611664, 3667.097468584894, 3664.7863761520857, 3662.5509236868775, 3660.6030382173, 3658.546423997069, 3656.73101276102, 3654.773264173474, 3652.9831403321873, 3650.9968909439863, 3649.10669882358, 3647.34536666106, 3645.635033031451, 3643.8907981903694, 3642.224686306496, 3640.810989463183, 3639.221184562358, 3637.850691364887, 3636.5659922366194, 3635.216380550084, 3633.826698452138, 3632.675952765228, 3631.434500959165, 3630.3193841449447, 3629.262401290025, 3628.2034010060574, 3627.212289966796, 3626.2947743805153, 3625.473473511899, 3624.559904193986, 3623.74837384848, 3622.990047942216, 3622.2723116120505, 3621.582212157286, 3620.9381552307705, 3620.373049194983, 3619.718249757533, 3619.084600074924, 3618.5365756799656, 3617.995679137384, 3617.4518104219937, 3616.977104824038, 3616.506607587864, 3616.069887332025, 3615.664224823307, 3615.283175090579, 3614.9312914508846, 3614.591683981994, 3614.304115749127, 3614.055896092904, 3613.815184165037, 3613.60947949877, 3613.436911093064, 3613.2927239647, 3613.177268285785, 3613.091316905164, 3613.0326105046415, 3612.999183084896, 3612.991995516732, 3613.036908728076, 3613.1179654438174, 3613.231239831384, 3613.3649989260207, 3613.515151300973]"
1,9,3937.8016975728624,"{'alpha': 0.0634051538819481, 'nu': 1.5100629476601102, 'sigma': 1.0}","{'alpha': 0.062720473325421, 'nu': 1.5164321804407812, 'sigma': 1.0}","[4181.535833424081, 4169.172268671307, 4159.940163174708, 4150.238048468197, 4144.212122300476, 4135.947502565719, 4131.642558865533, 4126.304587900122, 4121.634623339779, 4117.2568716368205, 4112.547159809144, 4105.408823555725, 4101.164178415556, 4095.530038548689, 4090.279843261087, 4085.128715761863, 4079.540784522655, 4076.689107893415, 4072.654404065316, 4067.603898584424, 4064.184440631515, 4060.055784291146, 4056.768405958254, 4052.765223674406, 4049.7644792401816, 4046.8827782290527, 4042.782000058159, 4039.4785956280457, 4035.915641813245, 4033.0158687293983, 4029.35882644226, 4026.20302862548, 4023.2041461075073, 4019.9861925185687, 4017.227337046597, 4014.476580016447, 4011.79879353126, 4009.486654818144, 4007.132741637016, 4004.4635141602303, 4002.396848150277, 3999.88376273138, 3997.09449367588, 3994.384113977552, 3991.7736689915982, 3988.935561571501, 3986.8045961072494, 3984.573013600063, 3982.296528507429, 3980.126942727205, 3978.008939120417, 3975.913483035353, 3973.888881495397, 3972.0843339553694, 3970.193511392408, 3968.202224055768, 3966.2415446182295, 3964.3279199725857, 3962.843793238629, 3961.224894228054, 3959.617268470924, 3958.011184453656, 3956.743527252158, 3955.5572726189, 3954.452980826314, 3953.4252491567713, 3952.576585050029, 3951.691549182541, 3950.823692768783, 3950.0403636877054, 3949.3257661697953, 3948.686967952424, 3948.125945483478, 3947.652134168322, 3947.164335350744, 3946.722018875255, 3946.237524990436, 3945.8328009592856, 3945.439028467268, 3945.047973321814, 3944.650754552929, 3944.291287240541, 3943.9262764324, 3943.568373399967, 3943.248552832637, 3942.920838233618, 3942.58736536154, 3942.279836426037, 3941.9785274897063, 3941.6933712828886, 3941.413112485746, 3941.1404180084655, 3940.881974668857, 3940.631848431437, 3940.402666681581, 3940.181304379205, 3939.98797364382, 3939.7872582919554, 3939.588106200068, 3939.381505598517, 3939.244051335292, 3939.066213457618, 3938.9217407925785, 3938.758595219832, 3938.623209804229, 3938.52043009515, 3938.401060375416, 3938.2914855312074, 3938.191531213143, 3938.076675835977, 3938.0149681458297, 3937.997248593306, 3937.9504292983306, 3937.904801949488, 3937.8638419227054, 3937.847171885121, 3937.8330209485584, 3937.8016975728624, 3937.835610125694, 3937.859305327518, 3937.902091337333, 3938.0125624912953, 3938.138375673816]"
