region,output_dimension,block_side,block_spacing,bandwidth,smoothness,model,assumed_bandwidth,decay_true,decay_target,variance_true,variance_target,minimum_kl,optimizer_success,at_decay_bound,condition_number
boundary,16,4,0.5,0.5,0.5,support_aware,0.5,1.0,1.0000000117936667,1.0,0.9999999927439281,0.0,True,False,578.6028796124342
boundary,16,4,0.5,0.5,0.5,partial_support,0.375,1.0,0.7237523458345049,1.0,0.9281040332029019,0.12223160502274588,True,False,446.65448829189955
boundary,16,4,0.5,0.5,0.5,point_support,0.0,1.0,0.34408886377794884,1.0,0.8286005322565952,1.534982143358036,True,False,148.08582780316888
interior,16,4,0.5,0.5,0.5,support_aware,0.5,1.0,0.9999999982603685,1.0,1.0000000010041288,0.0,True,False,474.7605974759336
interior,16,4,0.5,0.5,0.5,partial_support,0.375,1.0,0.7613264018628486,1.0,0.9184948731573149,0.08549875219988046,True,False,374.3320192240365
interior,16,4,0.5,0.5,0.5,point_support,0.0,1.0,0.374342395261609,1.0,0.7920264480543007,1.3369469103295692,True,False,132.49292346589831
boundary,16,4,0.5,0.5,1.0,support_aware,0.5,1.0,1.0000000038386472,1.0,0.9999999947264876,0.0,True,False,3921.2503971274696
boundary,16,4,0.5,0.5,1.0,partial_support,0.375,1.0,0.817513177785011,1.0,1.0183007481619692,0.11485442679552804,True,False,3011.7634990888337
boundary,16,4,0.5,0.5,1.0,point_support,0.0,1.0,0.5278179345595323,1.0,1.123332200482162,1.2945328453366045,True,False,1072.3107412073377
interior,16,4,0.5,0.5,1.0,support_aware,0.5,1.0,0.9999999998804459,1.0,1.000000000158509,0.0,True,False,2885.07924384427
interior,16,4,0.5,0.5,1.0,partial_support,0.375,1.0,0.8499792242187346,1.0,1.0110636766998318,0.0656368358325139,True,False,2303.7764987903665
interior,16,4,0.5,0.5,1.0,point_support,0.0,1.0,0.5652532359718883,1.0,1.1096692998618969,1.0022165522336905,True,False,917.2492035628634
boundary,16,4,0.5,0.5,1.5,support_aware,0.5,1.0,1.0000000152861142,1.0,0.9999999682260865,8.171241461241152e-14,True,False,22957.72147292806
boundary,16,4,0.5,0.5,1.5,partial_support,0.375,1.0,0.8724112312139526,1.0,1.0383263953573856,0.11951357176934962,True,False,17354.981660996422
boundary,16,4,0.5,0.5,1.5,point_support,0.0,1.0,0.6571832004079238,1.0,1.1702041922602422,1.2072078050039785,True,False,6192.473009345676
interior,16,4,0.5,0.5,1.5,support_aware,0.5,1.0,1.0000000093997328,1.0,0.9999999810022372,0.0,True,False,15422.094915296117
interior,16,4,0.5,0.5,1.5,partial_support,0.375,1.0,0.8981352290869463,1.0,1.044030900916884,0.051213906992245484,True,False,12459.81606280392
interior,16,4,0.5,0.5,1.5,point_support,0.0,1.0,0.6873557845763857,1.0,1.219518465435582,0.7671585182666547,True,False,5358.3729872573
boundary,16,4,0.5,0.5,2.5,support_aware,0.5,1.0,0.999999994789369,1.0,1.0000000171267835,1.3216094885137863e-12,True,False,678152.1132915616
boundary,16,4,0.5,0.5,2.5,partial_support,0.375,1.0,0.9357476390571395,1.0,1.0021958460616336,0.19257372614995205,True,False,482458.8245956784
boundary,16,4,0.5,0.5,2.5,point_support,0.0,1.0,0.8288600874607384,1.0,1.0244995417902576,1.5264627065699585,True,False,157923.3405432544
interior,16,4,0.5,0.5,2.5,support_aware,0.5,1.0,0.999999993018161,1.0,1.0000000224391685,2.1174173525650986e-12,True,False,389276.5523651135
interior,16,4,0.5,0.5,2.5,partial_support,0.375,1.0,0.9469728479634812,1.0,1.0537875626271243,0.030638959585999714,True,False,324099.4668819621
interior,16,4,0.5,0.5,2.5,point_support,0.0,1.0,0.8252881089659391,1.0,1.2328503304687137,0.45567578552855537,True,False,161420.7406853881
boundary,16,4,0.5,0.7,0.5,support_aware,0.7,1.0,0.9999998592232593,1.0,1.00000008171697,1.1013412404281553e-13,True,False,8847.097166736281
boundary,16,4,0.5,0.7,0.5,partial_support,0.5249999999999999,1.0,0.3893507872108843,1.0,0.82772531156145,1.483327630453168,True,False,4658.580046592346
boundary,16,4,0.5,0.7,0.5,point_support,0.0,1.0,0.1826821313015742,1.0,0.7609878887875168,6.326220911741736,True,False,323.65084796033176
interior,16,4,0.5,0.7,0.5,support_aware,0.7,1.0,0.9999999256714729,1.0,1.0000000378680918,0.0,True,False,5023.462638495228
interior,16,4,0.5,0.7,0.5,partial_support,0.5249999999999999,1.0,0.4847920876531447,1.0,0.8025767807903736,0.7405632677437097,True,False,2408.0765060651747
interior,16,4,0.5,0.7,0.5,point_support,0.0,1.0,0.2248847639061618,1.0,0.7071774062273185,4.425219390964543,True,False,252.69051403093536
boundary,16,4,0.5,0.7,1.0,support_aware,0.7,1.0,0.9999999950496767,1.0,1.0000000065636963,0.0,True,False,71111.82825926162
boundary,16,4,0.5,0.7,1.0,partial_support,0.5249999999999999,1.0,0.5396284127135609,1.0,1.0908277242176525,1.4469287385330283,True,False,31259.855392739028
boundary,16,4,0.5,0.7,1.0,point_support,0.0,1.0,0.33688047559925893,1.0,1.2554947025287269,5.5647898821549475,True,False,2888.8309504387125
interior,16,4,0.5,0.7,1.0,support_aware,0.7,1.0,1.0000000216933735,1.0,0.9999999732370306,0.0,True,False,29671.89750023222
interior,16,4,0.5,0.7,1.0,partial_support,0.5249999999999999,1.0,0.6303544137136274,1.0,1.0352997058707027,0.6244242772548318,True,False,13334.759398871825
interior,16,4,0.5,0.7,1.0,point_support,0.0,1.0,0.39076326699276276,1.0,1.210473508997845,3.33174290258518,True,False,2093.6639906997552
boundary,16,4,0.5,0.7,1.5,support_aware,0.7,1.0,1.0000001781399386,1.0,0.9999996405405409,0.0,True,False,478459.9016864359
boundary,16,4,0.5,0.7,1.5,partial_support,0.5249999999999999,1.0,0.6570963574949318,1.0,1.1504565693861744,1.538140668473389,True,False,159122.33648713233
boundary,16,4,0.5,0.7,1.5,point_support,0.0,1.0,0.4948863740177094,1.0,1.28016957241617,5.473410427907805,True,False,15257.621104426442
interior,16,4,0.5,0.7,1.5,support_aware,0.7,1.0,0.999999937285336,1.0,1.0000001194745742,0.0,True,False,140967.53787909253
interior,16,4,0.5,0.7,1.5,partial_support,0.5249999999999999,1.0,0.7277080874045387,1.0,1.1379764339850262,0.5208745390862575,True,False,62873.61765141085
interior,16,4,0.5,0.7,1.5,point_support,0.0,1.0,0.5251644669116922,1.0,1.4282813492172997,2.5770705639484817,True,False,12653.077206481508
boundary,16,4,0.5,0.7,2.5,support_aware,0.7,1.0,1.000000406010392,1.0,0.9999987002053079,7.241141020131181e-11,True,False,16967856.604818255
boundary,16,4,0.5,0.7,2.5,partial_support,0.5249999999999999,1.0,0.8338297663573181,1.0,1.0039842788780202,2.2680618118886002,True,False,2749704.0728666508
boundary,16,4,0.5,0.7,2.5,point_support,0.0,1.0,0.7707676057044113,1.0,0.952575167611083,7.01883448599888,True,False,228222.03527350994
interior,16,4,0.5,0.7,2.5,support_aware,0.7,1.0,1.0000002526611356,1.0,0.9999992272808313,1.8118839761882555e-11,True,False,2418888.3319270024
interior,16,4,0.5,0.7,2.5,partial_support,0.5249999999999999,1.0,0.8437712201542054,1.0,1.1764732145698185,0.3300860731278945,True,False,1199267.9086124585
interior,16,4,0.5,0.7,2.5,point_support,0.0,1.0,0.7089610425480668,1.0,1.4605920670702726,1.5442409696257968,True,False,348289.28696404095
