config_id,model,sample_size,dimension_p,smoothness,effective_information,criterion_deviation_q95,uniform_likelihood_bound,worst_envelope_coverage,candidatewise_simultaneous_coverage,decay_rmse_to_grid_target,decay_mean,decay_q10,decay_q90,decay_true,population_grid_decay_target
q6_nu0.5,corrected,4,36,0.5,144,1.9833583018887695,6.675191959337623,1.0,1.0,0.2586054393369734,1.0738741541872894,0.7523391963649503,1.4251531483274886,1.0,1.0
q6_nu0.5,corrected,16,36,0.5,576,1.079834565013701,2.903357356128671,1.0,1.0,0.12650786607245934,1.0144395902184369,0.8673748880184106,1.1927378287080268,1.0,1.0
q6_nu0.5,corrected,64,36,0.5,2304,0.47060859597147103,1.3431190221793006,1.0,1.0,0.0645521090155428,1.0121248417753286,0.931329634457323,1.0921253722480888,1.0,1.0
q6_nu0.5,naive,1,36,0.5,36,1.5806273222679041,7.600581554074309,1.0,1.0,0.22534553685220549,0.4450243279600273,0.1901427854337611,0.7364712122580349,1.0,0.3522493435884123
q6_nu0.5,naive,4,36,0.5,144,0.7400332039992497,2.83124575735015,1.0,1.0,0.10829955017958413,0.379860450094128,0.25819394729379025,0.5284108734792762,1.0,0.3522493435884123
q6_nu0.5,naive,16,36,0.5,576,0.3890008180349524,1.173361623753324,1.0,1.0,0.049655302662575965,0.35363435132158016,0.2913797178220523,0.4158552678788288,1.0,0.3522493435884123
q6_nu0.5,naive,64,36,0.5,2304,0.17993177770252378,0.5261154981462242,1.0,1.0,0.023804455050510803,0.35304981504637467,0.3280602524020279,0.3872983346207417,1.0,0.3522493435884123
q6_nu1.5,corrected,1,36,1.5,36,145.37376225771013,685.0935358599788,1.0,1.0,0.261814954864168,1.0815870611269613,0.7888808384594459,1.4667648456679512,1.0,1.0
q6_nu1.5,corrected,4,36,1.5,144,66.17284005338637,267.22651130207805,1.0,1.0,0.140117774708456,1.0208978525789263,0.8470479294037707,1.2068352673090326,1.0,1.0
q6_nu1.5,corrected,16,36,1.5,576,37.14797420592448,114.7831914940612,1.0,1.0,0.06550791903480377,1.006411403588325,0.931329634457323,1.0863676447682078,1.0,1.0
q6_nu1.5,corrected,64,36,1.5,2304,17.38969165380003,52.68407970778613,1.0,1.0,0.0358065450736743,1.003871052590958,0.95367913591886,1.0481223894689575,1.0,1.0
q6_nu1.5,naive,1,36,1.5,36,60.3553964946829,327.4569654603498,1.0,1.0,0.1850867084570006,0.7016375622528974,0.5147921795009975,0.9559677190857078,1.0,0.6372673584902279
q6_nu1.5,naive,4,36,1.5,144,30.152505523541596,123.8289726027988,1.0,1.0,0.09082629122221529,0.6527345601322874,0.5397959964857579,0.7703933904404214,1.0,0.6372673584902279
q6_nu1.5,naive,16,36,1.5,576,15.59719447390038,51.93960876955538,1.0,1.0,0.04201487921952913,0.643388780912063,0.5935059760342877,0.700675788738485,1.0,0.6372673584902279
q6_nu1.5,naive,64,36,1.5,2304,7.374391784627655,23.476085001816685,1.0,1.0,0.023197781607174926,0.6416118258934115,0.6077485837942549,0.6682198807633842,1.0,0.6372673584902279
q8_nu0.5,corrected,1,64,0.5,64,2.9957785775170933,11.478008456319072,1.0,1.0,0.3518792962330218,1.0705066176925624,0.6223329772884784,1.6,1.0,1.0
q8_nu0.5,corrected,4,64,0.5,256,1.4002174339676698,4.759401114387128,1.0,1.0,0.19428535344215858,1.0255471134129832,0.7888808384594459,1.29498873475808,1.0,1.0
q8_nu0.5,corrected,16,64,0.5,1024,0.6732291163220699,2.1347997787504616,1.0,1.0,0.10459027755761946,1.0171266156309364,0.8881896410448874,1.1514259016263246,1.0,1.0
q8_nu0.5,corrected,64,64,0.5,4096,0.34025483987306737,1.0061746947644552,1.0,1.0,0.050647815504396475,1.0084285491310139,0.931329634457323,1.073045153582236,1.0,1.0
q8_nu0.5,naive,1,64,0.5,64,1.0812929722631455,5.101356017162814,1.0,1.0,0.1632119676606655,0.381774160792138,0.17667061014970695,0.5935059760342877,1.0,0.3280602524020279
q8_nu0.5,naive,4,64,0.5,256,0.5110921237415519,1.9817224541805645,1.0,1.0,0.07226942832319169,0.33851995659303924,0.2521431637702073,0.4258347183047368,1.0,0.3280602524020279
q8_nu0.5,naive,16,64,0.5,1024,0.24628743833817765,0.8486223384900715,1.0,1.0,0.042430538224985645,0.3372179260411332,0.2845512246905005,0.3882277504124662,1.0,0.3280602524020279
q8_nu0.5,naive,64,64,0.5,4096,0.13166791059026267,0.388751447094983,1.0,1.0,0.021200919195036125,0.3344787841432174,0.3121310197310361,0.3607024164082652,1.0,0.3280602524020279
q8_nu1.5,corrected,1,64,1.5,64,128.9068139664203,472.6969905378162,1.0,1.0,0.23607481891252524,1.0608845824849982,0.7523391963649503,1.3895813857757495,1.0,1.0
q8_nu1.5,corrected,4,64,1.5,256,54.286617963573214,193.7028273545849,1.0,1.0,0.10964436325415715,1.0112653564902134,0.8881896410448874,1.1514259016263246,1.0,1.0
q8_nu1.5,corrected,16,64,1.5,1024,30.146757705652274,86.18999669871165,1.0,1.0,0.05474657730064361,1.0056162577222056,0.95367913591886,1.0736774279796413,1.0,1.0
q8_nu1.5,corrected,64,64,1.5,4096,14.346354568022422,40.42964410471063,1.0,1.0,0.02801123829391525,1.0027691133316337,0.9765649675873388,1.0358789280520364,1.0,1.0
q8_nu1.5,naive,1,64,1.5,64,48.8975048596817,221.69610400621303,1.0,1.0,0.1478046016249414,0.6572309857471751,0.5027280080886072,0.8470479294037707,1.0,0.6077485837942549
q8_nu1.5,naive,4,64,1.5,256,23.0394253663801,87.58573747584332,1.0,1.0,0.06657239174011635,0.616048811120375,0.5397959964857579,0.700675788738485,1.0,0.6077485837942549
q8_nu1.5,naive,16,64,1.5,1024,12.052614322060151,37.97729010610586,1.0,1.0,0.03389530486199722,0.611852932728102,0.5795971442488158,0.6525601261989097,1.0,0.6077485837942549
q8_nu1.5,naive,64,64,1.5,4096,5.82148967241995,17.534750395098982,1.0,1.0,0.018020446672586187,0.6112551641354937,0.5935059760342877,0.6372673584902279,1.0,0.6077485837942549
