config_id,model,sample_size,dimension_p,smoothness,effective_information,criterion_deviation_q95,uniform_likelihood_bound,worst_envelope_coverage,candidatewise_simultaneous_coverage,decay_rmse_to_grid_target,decay_mean,decay_q10,decay_q90,decay_true,population_grid_decay_target
q10_nu0.5,corrected,1,100,0.5,100,2.5810093972295745,8.625018838885337,1.0,1.0,0.32458884334252713,1.0601452956032729,0.6372673584902279,1.5555196096028268,1.0,1.0
q10_nu0.5,corrected,4,100,0.5,400,1.2569554219858192,3.684817227834124,1.0,1.0,0.17222369643004093,1.0082695671929442,0.7888808384594459,1.2362600005672917,1.0,1.0
q10_nu0.5,corrected,16,100,0.5,1600,0.546450551507806,1.685485566014926,1.0,1.0,0.08184174530925482,1.007592910482777,0.9095038942869436,1.1115448634441996,1.0,1.0
q10_nu0.5,corrected,64,100,0.5,6400,0.29746974204978366,0.803512021031929,1.0,1.0,0.04080758532806655,1.0019368933057482,0.95367913591886,1.0542982801106144,1.0,1.0
q10_nu0.5,naive,1,100,0.5,100,0.8084220155716911,3.761560320263417,1.0,1.0,0.14141626486030928,0.350313427433207,0.1901427854337611,0.5271458598118894,1.0,0.3203721497536806
q10_nu0.5,naive,4,100,0.5,400,0.5175435474302755,1.5085236221698597,1.0,1.0,0.06509777161373932,0.32296416556182367,0.24046367455221887,0.4061096861971126,1.0,0.3203721497536806
q10_nu0.5,naive,16,100,0.5,1600,0.20857795470432383,0.6611976765944675,1.0,1.0,0.03082159152905973,0.3206399840446788,0.28388437797313204,0.3607024164082652,1.0,0.3203721497536806
q10_nu0.5,naive,64,100,0.5,6400,0.11976339936206963,0.3073328046746181,1.0,1.0,0.01507607908902134,0.31929158181550094,0.3055322349495578,0.3359328496213827,1.0,0.3203721497536806
q10_nu1.5,corrected,1,100,1.5,100,93.35689088551543,357.2122738705261,1.0,1.0,0.20600398188642718,1.0539199850039997,0.8078119373956477,1.3335935593390962,1.0,1.0
q10_nu1.5,corrected,4,100,1.5,400,47.028736501108234,151.23545400960424,1.0,1.0,0.09536784288874077,1.0020713804968862,0.8881896410448874,1.1180944606943877,1.0,1.0
q10_nu1.5,corrected,16,100,1.5,1600,23.438949776692557,68.77505627338742,1.0,1.0,0.045058033918748845,1.0060612847812465,0.95367913591886,1.0667594471108302,1.0,1.0
q10_nu1.5,corrected,64,100,1.5,6400,12.38143536519446,32.676860453840035,1.0,1.0,0.023874628329386156,1.0035941320945216,0.9765649675873388,1.0358789280520364,1.0,1.0
q10_nu1.5,naive,1,100,1.5,100,38.66642380565542,164.729274737178,1.0,1.0,0.1236374168669835,0.6337946172024459,0.5027280080886072,0.790773948353066,1.0,0.5935059760342877
q10_nu1.5,naive,4,100,1.5,400,21.544574364541376,67.15848359146298,1.0,1.0,0.05511149151566431,0.594781716652281,0.5271458598118894,0.6682198807633842,1.0,0.5935059760342877
q10_nu1.5,naive,16,100,1.5,1600,10.073447645008102,29.777703351449997,1.0,1.0,0.028099880048413132,0.5926961769123219,0.5527497037082496,0.6238264154086532,1.0,0.5935059760342877
q10_nu1.5,naive,64,100,1.5,6400,5.600692864338565,13.93846706465462,1.0,1.0,0.015241168560905379,0.5912399892296435,0.566014266387059,0.6077485837942549,1.0,0.5935059760342877
q4_nu0.5,corrected,1,16,0.5,16,5.321088886253711,29.603490847534843,1.0,1.0,0.47382918551224334,1.1236096828656423,0.43403381153549975,1.6,1.0,1.0
q4_nu0.5,corrected,4,16,0.5,64,2.6100851291294362,10.925454270907276,1.0,1.0,0.34692430468942476,1.1049528730913947,0.6842554289186317,1.6,1.0,1.0
q4_nu0.5,corrected,16,16,0.5,256,1.2988593748102928,4.493654347238603,1.0,1.0,0.1983988296345519,1.0554153672466666,0.8271973337231159,1.302619245172131,1.0,1.0
q4_nu0.5,corrected,64,16,0.5,1024,0.6382228928080583,2.0045589765655425,1.0,1.0,0.0934859215312386,1.0055991577809724,0.8881896410448874,1.1319762657125239,1.0,1.0
q4_nu0.5,naive,1,16,0.5,16,1.8161708118601503,13.404508766646238,1.0,1.0,0.2895805326487985,0.4862652052971359,0.1896971851997937,0.8271973337231159,1.0,0.3693583411039224
q4_nu0.5,naive,4,16,0.5,64,1.0743837777323761,4.701793364751413,1.0,1.0,0.16410043085152362,0.4321743157200028,0.2650109880753873,0.638796635261096,1.0,0.3693583411039224
q4_nu0.5,naive,16,16,0.5,256,0.5074520033468483,1.8507814277327803,1.0,1.0,0.0827196457658399,0.39692655967469986,0.3121310197310361,0.5027280080886072,1.0,0.3693583411039224
q4_nu0.5,naive,64,16,0.5,1024,0.2600917767620843,0.8003619002056587,1.0,1.0,0.03916601843283037,0.3761377991565515,0.3280602524020279,0.4258347183047368,1.0,0.3693583411039224
q4_nu1.5,corrected,1,16,1.5,16,168.2126626981645,1167.6271316142634,1.0,1.0,0.3142283629248404,1.1115626213442793,0.700675788738485,1.5536832501198965,1.0,1.0
q4_nu1.5,corrected,4,16,1.5,64,91.60396979053887,418.2073186032525,1.0,1.0,0.19440083479125078,1.0477906520927402,0.8252587940903691,1.3041588622101177,1.0,1.0
q4_nu1.5,corrected,16,16,1.5,256,46.450808250555774,167.7020975006564,1.0,1.0,0.09547481470607662,1.005063765029046,0.8881896410448874,1.137975718000204,1.0,1.0
q4_nu1.5,corrected,64,16,1.5,1024,25.902047946914404,73.50065830008576,1.0,1.0,0.046812261186858786,1.0051679084419467,0.95367913591886,1.06113544977579,1.0,1.0
q4_nu1.5,naive,1,16,1.5,16,84.68837858416971,561.239085463008,1.0,1.0,0.23675092452459728,0.7846994506683896,0.5135857623597585,1.0743134279510567,1.0,0.6842554289186317
q4_nu1.5,naive,4,16,1.5,64,41.881868668697564,199.0978576282489,1.0,1.0,0.12824645122226982,0.7220771316232928,0.566014266387059,0.8881896410448874,1.0,0.6842554289186317
q4_nu1.5,naive,16,16,1.5,256,20.450086461600737,79.16850753831068,1.0,1.0,0.06458185461625361,0.6911806873886155,0.6223329772884784,0.7888808384594459,1.0,0.6842554289186317
q4_nu1.5,naive,64,16,1.5,1024,10.833466914482669,34.489148450201895,1.0,1.0,0.03263024742475479,0.6907819928855687,0.6525601261989097,0.7347081029128222,1.0,0.6842554289186317
q6_nu0.5,corrected,1,36,0.5,36,4.169938703495977,16.824292906996366,1.0,1.0,0.41291200513507803,1.1618571357771705,0.635773920370053,1.6,1.0,1.0
