bandwidth,smoothness_true,decay_true,variance_true,model,assumed_bandwidth,population_smoothness_target,population_decay_target,population_variance_target,population_objective,population_index,sample_size,trial,smoothness_estimate,decay_estimate,variance_estimate,sample_objective,smoothness_error_to_target,decay_error_to_target
0.35,0.5,1.0,1.0,support_aware,0.35,0.5,1.0,0.9999999999999998,-0.15680993807325083,66,16,0,0.75,1.6607646932939115,0.9569308114821921,-0.11456667025489153,0.25,0.6607646932939115
0.35,0.5,1.0,1.0,support_aware,0.35,0.5,1.0,0.9999999999999998,-0.15680993807325083,66,16,1,0.6,1.5315534573293854,0.7738581314526981,-0.19928311940350518,0.09999999999999998,0.5315534573293854
0.35,0.5,1.0,1.0,support_aware,0.35,0.5,1.0,0.9999999999999998,-0.15680993807325083,66,16,2,1.25,2.628079203986133,0.8061993507703314,-0.15490863127787813,0.75,1.628079203986133
0.35,0.5,1.0,1.0,support_aware,0.35,0.5,1.0,0.9999999999999998,-0.15680993807325083,66,16,3,0.75,1.138029973560812,1.0453059953424864,-0.22598021423178094,0.25,0.13802997356081192
0.35,0.5,1.0,1.0,support_aware,0.35,0.5,1.0,0.9999999999999998,-0.15680993807325083,66,16,4,0.5,1.0215330987006,1.043780680437997,-0.12895588839916472,0.0,0.02153309870059994
0.35,0.5,1.0,1.0,support_aware,0.35,0.5,1.0,0.9999999999999998,-0.15680993807325083,66,16,5,0.6,1.4123951467232176,0.9075421175079849,-0.14299867694409252,0.09999999999999998,0.41239514672321764
0.35,0.5,1.0,1.0,support_aware,0.35,0.5,1.0,0.9999999999999998,-0.15680993807325083,66,16,6,0.6,1.0494886768664426,1.2091851137209382,-0.09965418156106165,0.09999999999999998,0.04948867686644265
0.35,0.5,1.0,1.0,support_aware,0.35,0.5,1.0,0.9999999999999998,-0.15680993807325083,66,16,7,0.5,1.374772708486752,0.8404681942349806,-0.15717927831310285,0.0,0.37477270848675204
0.35,0.5,1.0,1.0,support_aware,0.35,0.5,1.0,0.9999999999999998,-0.15680993807325083,66,16,8,0.5,1.138029973560812,1.021231505830863,-0.1086070704272959,0.0,0.13802997356081192
0.35,0.5,1.0,1.0,support_aware,0.35,0.5,1.0,0.9999999999999998,-0.15680993807325083,66,16,9,0.4,0.7,1.1503255403312052,-0.1311366980618931,-0.09999999999999998,-0.30000000000000004
