bandwidth,smoothness_true,decay_true,model,assumed_bandwidth,population_smoothness_target,population_decay_target,population_variance_target,population_objective,replicates,sample_size,median_smoothness_estimate,median_decay_estimate,smoothness_target_rmse,decay_target_rmse
0.35,0.5,1.0,partial_support,0.26249999999999996,1.0,1.4907569596297852,0.8433565628662794,-0.15569466995859216,100,16,1.1,1.6607646932939115,0.33823069050575527,0.5739406096662805
0.35,0.5,1.0,point_support,0.0,1.25,1.6607646932939115,0.7954502537333448,-0.154990500133671,100,16,1.5,1.9268011760014883,0.3720215047547655,0.5767939803049448
0.35,0.5,1.0,support_aware,0.35,0.5,1.0,0.9999999999999998,-0.15680993807325083,100,16,0.5,1.1077158914918732,0.2083266665599966,0.474846249348892
0.35,1.0,1.0,partial_support,0.26249999999999996,1.5,1.374772708486752,0.9166272627571428,-0.49412940649608883,100,16,1.5,1.3935839276049848,0.35601966237835797,0.42621527963393063
0.35,1.0,1.0,point_support,0.0,1.75,1.4907569596297852,0.9219312299079863,-0.4933000475654742,100,16,1.75,1.5315534573293854,0.3807886552931954,0.4282510751948611
0.35,1.0,1.0,support_aware,0.35,1.0,1.0,0.9999999999999984,-0.49537175652724064,100,16,1.0,0.9971610912738074,0.25391927851189244,0.35602519233381547
0.35,1.5,1.0,partial_support,0.26249999999999996,2.0,1.3025076212264866,0.9212458217535479,-0.9033114204962318,100,16,2.0,1.2678122934736207,0.2850438562747845,0.27140689868618145
0.35,1.5,1.0,point_support,0.0,2.25,1.4123951467232176,0.9152154801730064,-0.9025014910623401,100,16,2.25,1.374772708486752,0.3122498999199199,0.28222309247408034
0.35,1.5,1.0,support_aware,0.35,1.5,1.0,1.0000000000000018,-0.904511508612099,100,16,1.5,1.0215330987006,0.23468063405402673,0.24849941979623813
0.35,2.5,1.0,partial_support,0.26249999999999996,2.75,1.078209295686945,0.9588804702179344,-1.7306613905580668,100,16,2.875,1.153601806681745,0.3648629879831606,0.20494168720964243
0.35,2.5,1.0,point_support,0.0,3.0,1.1691736398026784,0.9331075744874833,-1.730351419273851,100,16,3.0,1.2011695928643287,0.35619517121937516,0.19644130836408558
0.35,2.5,1.0,support_aware,0.35,2.5,1.0,0.9999999999999183,-1.7318152874068895,100,16,2.5,0.9943221825476148,0.2936835031117683,0.17599860878384094
0.5,0.5,1.0,partial_support,0.375,0.75,1.2011695928643287,0.8601389934943233,-0.3673725883904352,100,16,0.75,1.2176053747721618,0.26981475126464083,0.464430849936677
0.5,0.5,1.0,point_support,0.0,2.0,2.175510823400143,0.7113939856675657,-0.36524592498913633,100,16,2.0,2.1175610196387638,0.3928422075083073,0.4744998406530923
0.5,0.5,1.0,support_aware,0.5,0.5,1.0,0.9999999999999999,-0.3677195720696582,100,16,0.5,0.9678360925983294,0.1676305461424021,0.36320135269390086
0.5,1.0,1.0,partial_support,0.375,1.25,1.138029973560812,0.9545260359263475,-0.6678923802887939,100,16,1.25,1.1691736398026784,0.31551545128567,0.344529119390418
0.5,1.0,1.0,point_support,0.0,2.25,1.7062136731238415,0.8865254650375574,-0.6650139907553503,100,16,2.5,1.800876981010554,0.46233105022267323,0.4039264674817851
0.5,1.0,1.0,support_aware,0.5,1.0,1.0,0.9999999999999925,-0.6683060144009609,100,16,1.0,0.9810791375729722,0.2377498685593748,0.2870512709609752
0.5,1.5,1.0,partial_support,0.375,1.75,1.1077158914918732,0.9865511907830711,-1.0493928823979726,100,16,1.75,1.1077158914918732,0.31721443851123804,0.291594753856323
0.5,1.5,1.0,point_support,0.0,2.75,1.6165263530222729,0.8672209226722434,-1.0464825258875186,100,16,2.625,1.5315534573293854,0.39370039370059057,0.3093955453858233
0.5,1.5,1.0,support_aware,0.5,1.5,1.0,1.0000000000000073,-1.0497064452700453,100,16,1.5,0.9678360925983294,0.2538700454957221,0.2510587003566751
0.5,2.5,1.0,partial_support,0.375,2.75,1.078209295686945,0.993330858929618,-1.8328131754094783,100,16,2.75,1.1077158914918732,0.31721443851123804,0.18277623391232797
0.5,2.5,1.0,point_support,0.0,3.5,1.3381524316228601,0.8794669682690093,-1.8305364065476506,100,16,3.5,1.3025076212264866,0.3191786333700926,0.17304983158657433
0.5,2.5,1.0,support_aware,0.5,2.5,1.0,1.0000000000001208,-1.8330106695846258,100,16,2.5,1.0355108877835213,0.31622776601683794,0.1808052393014828
