dimension,smoothness,bandwidth,decay_true,lag,exact_pseudo_decay,exact_decay_shift,leading_decay_shift,transition_pseudo_decay,transition_decay_shift,exact_to_leading_ratio,exact_to_transition_ratio,leading_relative_error,transition_relative_error,exact_variance_factor,transition_variance_factor,transition_variance_loss_relative_error,quadrature_order
2,0.55,0.01,1.0,1.0,0.9946444968939796,0.0053555031060202,0.0053885357485515,0.9946445972692224,0.0053554027307777,0.993869829565448,1.0000187428000484,0.00616798121061,1.874244876252392e-05,0.9948470184644488,0.9948471155280888,1.8836403591533542e-05,96
2,0.55,0.02,1.0,1.0,0.9885733562767298,0.0114266437232701,0.0115505792344514,0.988574212007248,0.011425787992752,0.9892701908133212,1.000074894660977,0.0108461867003767,7.488905218682827e-05,0.9890362311622096,0.9890370593605328,7.553956448710316e-05,96
2,0.55,0.05,1.0,1.0,0.9690507859401692,0.0309492140598307,0.0316473808287783,0.9690652486890218,0.0309347513109782,0.9779391927336774,1.0004675243290997,0.0225584652197598,0.0004673058522445,0.9705727134045216,0.9705867061180586,0.0004755013171765,96
2,0.5750000000000001,0.01,1.0,1.0,0.9956074660935283,0.0043925339064715,0.0044344838938101,0.9956075480862112,0.0043924519137886,0.9905400519331776,1.0000186667229316,0.0095502933458975,1.8666374491648518e-05,0.9958463888820122,0.9958464669597096,1.879754632791554e-05,96
2,0.5750000000000001,0.02,1.0,1.0,0.9903185439560958,0.0096814560439042,0.0098407359058965,0.9903192655272484,0.0096807344727515,0.9838142326432232,1.000074536818952,0.0164520565160868,7.45312636286627e-05,0.9908658494230436,0.9908665383006956,7.541781210175622e-05,96
2,0.5750000000000001,0.05,1.0,1.0,0.9726832555581014,0.0273167444418985,0.0282266011670188,0.972695941344019,0.0273040586559809,0.9677659835934004,1.0004646117296134,0.0333076559344561,0.0004643959658005,0.9744264984622352,0.974438650800239,0.0004751925732861,96
2,0.6000000000000001,0.01,1.0,1.0,0.996385725593386,0.0036142744066138,0.0036640153745742,0.996385792788034,0.0036142072119659,0.9864244652722922,1.0000185918083873,0.0137623662081013,1.8591462738396743e-05,0.9966412543758852,0.9966413173939916,1.8762393301655998e-05,96
2,0.6000000000000001,0.02,1.0,1.0,0.9917733410431931,0.0082266589568067,0.0084176968669146,0.9917739513394548,0.0082260486605453,0.9773052043654904,1.0000741906942934,0.0232218098636279,7.418519044250986e-05,0.9923683290141112,0.992368903795542,7.53152791487149e-05,96
2,0.6000000000000001,0.05,1.0,1.0,0.9758314373195492,0.0241685626804508,0.0252767534617502,0.9758425952719224,0.0241574047280777,0.9561577089804542,1.0004618853928542,0.0458525728630004,0.0004616721532302,0.977724115481386,0.9777346975099156,0.0004750441456462,96
2,0.625,0.01,1.0,1.0,0.9970160705065586,0.0029839294934413,0.0030409765216091,0.997016125761996,0.002983874238004,0.9812405561955684,1.000018518018163,0.0191180885115113,1.851767525278473e-05,0.9972747886172416,0.9972748396650758,1.8731697150524515e-05,96
2,0.625,0.02,1.0,1.0,0.9929885263560536,0.0070114736439462,0.0072327018321075,0.9929890441618046,0.0070109558381954,0.9694127874621876,1.000073856655609,0.0315523097419482,7.385120120642191e-05,0.9936044432838204,0.9936049244547696,7.523519383052202e-05,96
2,0.625,0.05,1.0,1.0,0.9785650100591328,0.0214349899408673,0.0227366026765526,0.9785748517646736,0.0214251482353262,0.9427525407290662,1.0004593529731034,0.0607237390489153,0.0004591420648309,0.9805500075079372,0.9805592477310348,0.0004750759210489,96
2,0.65,0.01,1.0,1.0,0.9975277509934138,0.0024722490065861,0.0025365925209035,0.997527796594612,0.0024722034053881,0.974633878406902,1.0000184455688157,0.0260263080886952,1.844522858271368e-05,0.9977808479705208,0.9977808894827468,1.870634613518033e-05,96
2,0.65,0.02,1.0,1.0,0.9940056415672884,0.0059943584327114,0.0062458234220857,0.9940060823375858,0.0059939176624141,0.9597386969850724,1.000073536261605,0.0419502757796518,7.353085442064335e-05,0.9946233739567618,0.994623778178081,7.518122256297869e-05,96
2,0.65,0.05,1.0,1.0,0.9809429466491788,0.019057053350821,0.0205547270106192,0.980951652317708,0.019048347682292,0.9271372634127224,1.0004570301148563,0.0785889419642948,0.0004568213337497,0.9829753542162708,0.982983446193776,0.000475309595739,96
2,0.675,0.01,1.0,1.0,0.9979440606769548,0.0020559393230452,0.002127958149157,0.9979440984540272,0.0020559015459726,0.9661559010733558,1.0000183749424456,0.0350296457218187,1.8374604813375476e-05,0.998186016547967,0.9981860504465508,1.8687372081502364e-05,96
2,0.675,0.02,1.0,1.0,0.994858738217808,0.0051412617821919,0.0054244233469976,0.994859114696648,0.0051408853033519,0.9477987710965906,1.0000732322971193,0.0550762783148719,7.322693454276886e-05,0.9954649666425904,0.9954653074843288,7.515749315115942e-05,96
2,0.675,0.05,1.0,1.0,0.983015280411282,0.016984719588718,0.0186884201049207,0.9830230039294038,0.0169769960705962,0.908836567958244,1.000454940207898,0.1003078388962276,0.0004547333314215,0.9850602083254004,0.9850673162108536,0.0004757687126976,96
2,0.7000000000000001,0.01,1.0,1.0,0.9982835812303666,0.0017164187696333,0.0017968525240209,0.9982836126521536,0.0017163873478465,0.9552363072025278,1.0000183069322193,0.0468613812728345,1.83065970816885e-05,0.998511196225356,0.9985112240302096,1.8675969410006312e-05,96
