dimension,smoothness,bandwidth,decay_true,decay_pseudo,decay_shift,relative_decay_shift,variance_factor,variance_loss,covariance_factor,smoothed_correlation,asymptotic_scale,scaled_decay_shift,leading_coefficient,leading_shift,coefficient_ratio,quadrature_order
2,0.25,0.003,1.0,0.961333303228038,0.0386666967719621,0.0386666967719621,0.9546356239287266,0.0453643760712734,0.199805165496932,0.2092999260541418,0.0547722557505166,0.7059540682071945,0.6917210087691387,0.0378871200003086,1.020576300643785,96
2,0.25,0.0039334018122646,1.0,0.9555918860206254,0.0444081139793746,0.0444081139793746,0.9480569437396188,0.0519430562603813,0.1998052692736048,0.2107523926626931,0.0627168383471671,0.7080732248260803,0.6917210087691387,0.0433825546883134,1.0236399008410038,96
2,0.25,0.0051572166055757,1.0,0.9489751925130844,0.0510248074869156,0.0510248074869156,0.9405249693418622,0.0594750306581377,0.1998054476698297,0.2124403436196326,0.0718137633436357,0.7105157160857454,0.6917210087691387,0.0496750888235679,1.0271709360831045,96
2,0.25,0.0067618017142043,1.0,0.9413425130450128,0.058657486954987,0.058657486954987,0.9319020788012816,0.0680979211987182,0.1998057543358655,0.2144063833325475,0.082230175204753,0.7133328709191001,0.6917210087691387,0.0568803397438947,1.0312436110454677,96
2,0.25,0.0088656277056086,1.0,0.9325282153322612,0.0674717846677388,0.0674717846677388,0.9220311413636632,0.0779688586363368,0.199806281487502,0.2167023135379062,0.0941574622938015,0.7165845703997965,0.6917210087691387,0.0651306948010105,1.0359444939729394,96
2,0.25,0.0116240253613683,1.0,0.9223366313788802,0.0776633686211197,0.0776633686211197,0.9107329986571652,0.0892670013428348,0.1998071876122814,0.2193916196150662,0.1078147733910728,0.7203406933798773,0.6917210087691387,0.074577743810289,1.04137460659416,96
2,0.25,0.015240654140739,1.0,0.9105357068351452,0.0894642931648548,0.0894642931648548,0.8978037898501423,0.1021962101498576,0.1998087450492511,0.2225527975133657,0.1234530442748945,0.7246827625055847,0.6917210087691387,0.0853950643214511,1.0476518037164997,96
2,0.25,0.0199825388724274,1.0,0.8968490772397406,0.1031509227602593,0.1031509227602593,0.8830122348786869,0.1169877651213131,0.1998114216364702,0.2262838653237024,0.141359608348451,0.7297057763911785,0.6917210087691387,0.0977814108860009,1.0549134219439578,96
2,0.25,0.0261997848714852,1.0,0.8809461480423839,0.119053851957616,0.119053851957616,0.8660970915359045,0.1339029084640954,0.199816020638816,0.2307085690409948,0.1618634760268211,0.7355201734200285,0.6917210087691387,0.1119643669201519,1.0633191186846078,96
2,0.25,0.0343514270981484,1.0,0.8624296571523545,0.1375703428476454,0.1375703428476454,0.8467651672754957,0.1532348327245043,0.199823920022369,0.2359850496275269,0.1853413798862748,0.7422537963840475,0.6917210087691387,0.1282045262615982,1.0730537123700028,96
2,0.25,0.0450393218672452,1.0,0.840820105851965,0.159179894148035,0.159179894148035,0.8246905274000563,0.1753094725999436,0.1998374800242761,0.2423181464861608,0.2122246966477869,0.7500535831238043,0.6917210087691387,0.1468002812509316,1.0843296265621072,96
2,0.25,0.0590525834185983,1.0,0.8155364001119166,0.1844635998880833,0.1844635998880833,0.7995159409020147,0.2004840590979852,0.199860732672057,0.2499771704946544,0.2430073731774374,0.7590864321363326,0.6917210087691387,0.1680933053126355,1.0973881413361513,96
2,0.25,0.0774258462125422,1.0,0.7858721613705741,0.2141278386294258,0.2141278386294258,0.770858193947392,0.229141806052608,0.1999005341933651,0.2593220591840885,0.2782550021339099,0.7695381466183923,0.6917210087691387,0.192474830771127,1.1124978667161245,96
