path,size_kb,modified,cells,code_cells,md_cells,title,uses_core,read_h5ad,uses_cuda,uses_sklearn
notebooks/legacy/archived_code/38_61872_7.ipynb,552.0,2026-02-03,8,5,3,# Do the actual fitting marginally.  Separate the gene list into 4 subsets of 6 each.  Track also the time and memory usage in the meanwhile.,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/38_61872_8.ipynb,547.6,2026-02-03,8,5,3,# Do the actual fitting marginally.  Separate the gene list into 4 subsets of 6 each.  Track also the time and memory usage in the meanwhile.,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/38_61872_9.ipynb,543.8,2026-02-03,8,5,3,# Do the actual fitting marginally.  Separate the gene list into 4 subsets of 6 each.  Track also the time and memory usage in the meanwhile.,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/38_MarginalFitting1.ipynb,10.9,2026-02-03,9,6,3,# Do the actual fitting marginally.  Separate the gene list into 4 subsets of 6 each.  Track also the time and memory usage in the meanwhile.,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/38_MarginalFitting2.ipynb,9.7,2026-02-03,10,7,3,# Do the actual fitting marginally.  Separate the gene list into 4 subsets of 6 each.  Track also the time and memory usage in the meanwhile.,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/38_MarginalFitting3.ipynb,10.9,2026-02-03,9,6,3,# Do the actual fitting marginally.  Separate the gene list into 4 subsets of 6 each.  Track also the time and memory usage in the meanwhile.,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/38_MarginalFitting4-old.ipynb,14.5,2026-02-03,9,6,3,# Do the actual fitting marginally.  Separate the gene list into 4 subsets of 6 each.  Track also the time and memory usage in the meanwhile.,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/38_MarginalFitting4.ipynb,9.6,2026-02-03,9,6,3,# Do the actual fitting marginally.  Separate the gene list into 4 subsets of 6 each.  Track also the time and memory usage in the meanwhile.,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/38_MarginalFitting4_1.ipynb,8.9,2026-02-03,10,7,3,# Do the actual fitting marginally.  Separate the gene list into 4 subsets of 6 each.  Track also the time and memory usage in the meanwhile.,"preambles,helper_functions,fitting_functions",0,0,0
notebooks/legacy/archived_code/38_MarginalFitting4_1_51278.ipynb,9.5,2026-02-03,9,6,3,# Do the actual fitting marginally.  Separate the gene list into 4 subsets of 6 each.  Track also the time and memory usage in the meanwhile.,"preambles,helper_functions,fitting_functions",0,0,0
